# seed=28
# instance=BALANCED
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=4
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5725,0.8462,0.9121,-0.1598,0.2310,"37 40 24 14 12 3 1 39 33 3 4 11 7 3 0 23 21 35 4 28 10 4 18 29 29 41 19 29 4 23 31 27 12 2 5 16 10 26 32 19 5 14 10 17 15 9 22 13 18 11 8 33 16 25 18 1 38 32 27 26 31 1 2 5 28 33 8 36 37 27 42 15 8 42 19 14 25 0 1 25 39 21 40 39 20 13 11 9 12 2 2 18 14 33 20 25 35 6 19 36 15 18 20 27 19 12 41 41 35 42 39 29 2 16 28 23 2 23 10 36 28 22 20 10 39 16 23 31 40 26 14 40 17 23 22 1 36 31 33 15 33 18 11 10 41 12 16 32 36 32 21 13 38 1 42 36 16 9 42 16 12 18 7 37 29 9 41 16 17 27 36 1 32 1 30 3 1 22 21 40 33 18 33 37 16 18 1 8 23 20 13 0 1 33 7 36 38 1 26 41 28 14 20 33 33 37 31 32 32 36 30 35 37 38 36 42 5 24 20 22 25 3 42 16 27 24 18 18 16 14 0 26 13 7 35 11 6 5 7 3 23 23 33 9 2 10 32 35 33 23 16 15 1 4 9 0 4 38 40 27 6 4 35 0 20 35 34 5 1 29 41 36 37 17 15 2 36 39 14 42 3 13 10 15 10 36 11 33 5 28 13 27 29 17 15 12 28 29 33 33 3 28 5 15 32 1 40 13 15 0 24 37 3 10 3 25 18 15 8 31 16 1 37 8 29 11 14 42 39 41 13 8 24 14 1 27 15 38 6 32 37 40 16 42 0 21 20 26 19 15 19 16 14 33 31 11 39 2 21 34 6 35 15 30 1 13 27 38 11 39 42 4 11 3 6 1 0 35 6 7 9 18 4 22 14 18 14 13 22 32 6 3 41 38 37 42 5 6 25 20 10 9 5 37 38 6 16 7 39 41 24 29 21 26 9 13 9 4 37 26 35 38 5 3 17 2 13 38 19 12 35 7 32 18 29 17 38 2 35 32 33 8 24 23 1 8 22 20 2 35 35 41 6 20 35 20 19 33 12 7 18 4 27 42 21 26 33 40 35 41 22 13 38 31 16 25 7 1 18 27 14 2 27 14 2 29 42 35 14 0 1 25 33 26 27 35 35 1 6 36"
1,2,-0.8088,1.0000,0.6374,-0.2232,0.2351,"9 2 9 31 9 3 31 2 2 2 0 2 32 3 5 3 31 31 0 3 31 31 3 6 33 3 31 2 31 32 0 9 29 3 0 6 0 0 31 0 31 0 31 31 3 31 32 31 31 3 0 5 31 31 33 3 4 3 31 31 33 0 0 0 31 3 3 2 4 5 3 2 26 10 3 3 33 4 0 33 3 3 5 3 31 31 3 5 31 41 0 31 3 0 32 2 31 32 2 2 5 40 34 39 39 22 34 39 39 36 40 39 21 6 39 2 39 36 6 40 40 40 21 36 39 40 39 34 39 39 36 39 35 34 22 39 39 39 34 39 40 39 39 39 39 40 39 37 40 40 12 39 40 12 26 34 39 2 21 40 35 34 40 5 34 39 39 40 6 40 36 34 34 40 39 20 5 39 34 39 39 16 40 36 40 34 37 40 40 36 40 12 34 39 40 39 2 39 4 39 17 28 27 19 14 3 25 39 12 28 12 12 23 28 20 12 7 12 12 22 30 4 12 7 7 7 12 19 12 20 19 12 28 12 30 12 19 12 12 29 12 20 20 28 19 28 12 7 7 19 12 20 12 12 12 12 28 20 19 28 20 12 12 19 12 20 12 1 20 12 8 7 12 12 7 30 7 12 12 12 12 29 7 30 20 12 19 12 20 12 20 12 20 19 12 19 28 19 12 12 25 12 31 32 31 26 34 11 31 25 26 31 25 12 25 31 23 27 25 25 25 25 26 25 25 25 31 25 12 27 26 26 26 3 33 12 25 25 25 25 27 31 25 25 11 27 9 31 26 25 25 32 25 31 25 26 32 25 31 33 25 25 25 25 25 25 31 25 9 26 25 25 25 31 26 26 25 31 12 32 33 25 25 25 26 31 12 12 25 12 25 25 26 25 25 31 25 26 25 31 1 41 25 25 27 41 35 35 25 41 25 27 34 25 27 34 25 41 41 0 34 25 41 25 17 41 40 13 25 34 38 25 25 25 11 25 25 25 27 41 9 41 26 25 25 25 35 41 34 27 25 25 27 0 27 25 41 25 41 25 27 25 25 25 26 25 34 25 25 6 26 25 41 41 25 10 25 25 34 41 26 41 25 25 25 26 25 25 9 26 26 41 11 25 25 27 25 41 25 27"
2,2,-0.8045,1.0000,0.6516,-0.2740,0.1497,"9 2 9 31 9 3 31 2 2 2 0 2 32 3 5 3 31 31 0 3 31 31 3 6 33 3 31 2 31 32 0 9 29 3 0 6 0 0 31 0 31 0 31 31 3 31 32 31 31 3 0 5 31 31 33 3 4 3 31 31 33 0 0 0 31 3 3 2 4 5 3 2 26 10 3 3 33 4 0 33 3 3 5 3 31 31 3 5 31 41 0 31 3 0 32 2 31 32 2 2 5 40 34 39 39 22 34 39 39 36 40 39 21 6 39 2 39 36 6 40 40 40 21 36 39 40 39 34 39 39 36 39 35 34 22 39 39 39 34 39 40 39 39 39 39 40 39 37 40 40 12 39 40 12 26 34 39 2 21 40 35 34 40 5 34 39 39 40 6 40 36 34 34 40 39 20 5 39 34 39 39 16 40 36 40 34 37 40 40 36 40 12 34 39 40 39 2 39 4 39 17 28 27 19 14 3 25 39 12 28 12 12 23 28 20 12 7 12 12 22 30 4 12 7 7 7 12 19 12 20 19 12 28 12 30 12 19 12 12 29 12 20 20 28 19 28 12 7 7 19 12 20 12 12 12 12 28 20 19 28 20 12 12 19 12 20 12 1 20 12 8 7 12 12 7 30 7 12 12 12 12 29 7 30 20 12 19 12 20 12 20 12 20 19 12 19 28 19 12 12 25 12 31 32 31 26 34 11 31 25 26 31 25 12 25 31 23 27 25 25 25 25 26 25 25 25 31 25 12 27 26 26 26 3 33 12 25 25 25 25 27 31 25 25 11 27 9 31 26 25 25 32 25 31 25 26 32 25 31 33 25 25 25 25 25 25 31 25 9 26 25 25 25 31 26 26 25 31 12 32 33 25 25 25 26 31 12 12 25 12 25 25 26 25 25 31 25 26 25 31 1 41 25 25 27 41 35 35 25 41 25 27 34 25 27 34 25 41 41 0 34 25 41 25 17 41 40 13 25 34 38 25 25 25 11 25 25 25 27 41 9 41 26 25 25 25 35 41 34 27 25 25 27 0 27 25 41 25 41 25 27 25 25 25 26 25 34 25 25 6 26 25 41 41 25 10 25 25 34 41 26 41 25 25 25 26 25 25 9 26 26 41 11 25 25 27 25 41 25 27"
3,2,-0.7876,0.9615,0.5799,-0.2912,0.1562,"9 2 9 31 9 3 31 2 2 2 0 2 32 3 5 3 31 31 0 3 31 31 3 6 33 3 31 2 31 32 0 9 29 3 0 6 0 0 31 0 31 0 31 31 3 31 32 31 31 3 0 5 31 31 33 3 4 3 31 31 33 0 0 0 31 3 3 2 4 5 3 2 26 10 3 3 33 4 0 33 3 3 5 3 31 31 3 5 31 41 0 31 3 0 32 2 31 32 2 2 5 40 34 39 39 22 34 39 39 36 40 39 21 6 39 2 39 36 6 40 40 40 21 36 39 40 39 34 39 39 36 39 35 34 22 39 39 39 34 39 40 39 39 39 39 40 39 37 40 40 12 39 40 12 26 34 39 2 21 40 35 34 40 5 34 39 39 40 6 40 36 34 34 40 39 20 5 39 34 39 39 16 40 36 40 34 37 40 40 36 40 12 34 39 40 39 2 39 4 39 17 28 27 19 14 3 25 39 12 28 12 12 23 28 20 12 7 12 12 22 30 4 12 7 7 7 12 19 12 20 19 12 28 12 30 12 19 12 12 29 12 20 20 28 19 28 12 7 7 19 12 20 12 12 12 12 28 20 19 28 20 12 12 19 12 20 12 1 20 12 8 7 12 12 7 30 7 12 12 12 12 29 7 30 20 12 19 12 20 12 20 12 20 19 12 19 28 19 12 12 25 12 31 32 31 26 34 11 31 25 26 31 25 12 25 31 23 27 25 25 25 25 26 25 25 25 31 25 12 27 26 26 26 3 33 12 25 25 25 25 27 31 25 25 11 27 9 31 26 25 25 32 25 31 25 26 32 25 31 33 25 25 25 25 25 25 31 25 9 26 25 25 25 31 26 26 25 31 12 32 33 25 25 25 26 31 12 12 25 12 25 25 26 25 25 31 25 26 25 31 1 41 25 25 27 41 35 35 25 41 25 27 34 25 27 34 25 41 41 0 34 25 41 25 17 41 40 13 25 34 38 25 25 25 11 25 25 25 27 41 9 41 26 25 25 25 35 41 34 27 25 25 27 0 27 25 41 25 41 25 27 25 25 25 26 25 34 25 25 6 26 25 41 41 25 10 25 25 34 41 26 41 25 25 25 26 25 25 9 26 26 41 11 25 25 27 25 41 25 27"
4,3,-0.8171,1.0000,0.6096,-0.3106,0.1143,"38 12 23 23 12 12 22 21 0 0 21 23 23 12 19 21 21 24 20 12 21 22 12 22 13 12 12 19 12 12 1 23 22 12 12 23 12 29 12 22 23 12 0 23 22 1 12 12 23 12 22 22 23 22 1 13 23 22 12 21 12 38 12 12 23 23 22 12 12 21 12 19 3 12 12 22 1 1 12 22 23 12 22 22 22 12 12 12 24 12 23 13 21 21 12 21 24 22 12 12 2 40 23 23 40 2 2 40 2 23 40 40 40 24 40 40 23 40 23 9 9 40 23 10 40 40 23 24 40 2 23 24 2 23 23 40 40 2 5 23 23 24 10 40 9 23 23 23 11 2 40 40 24 40 40 2 40 9 23 23 2 23 40 10 40 40 2 40 40 23 40 40 23 23 11 2 23 40 23 23 10 9 40 23 23 40 24 23 40 2 40 40 40 23 40 23 9 40 2 40 40 25 40 25 25 32 25 25 27 25 25 40 25 25 40 12 25 25 25 25 27 26 33 12 25 26 12 25 25 40 40 25 25 25 25 31 25 40 40 25 40 12 27 26 26 27 40 6 40 40 40 12 40 33 25 31 25 12 26 25 40 6 40 30 25 33 25 26 32 25 40 25 25 25 26 12 40 25 27 12 26 31 12 40 25 25 25 26 40 25 25 25 25 40 25 25 36 12 26 40 12 28 28 12 12 24 3 28 12 28 12 24 12 28 23 24 12 37 12 1 28 37 12 23 28 12 23 12 12 24 24 24 12 24 12 29 30 12 12 28 5 12 28 28 4 12 12 6 24 12 30 24 23 12 12 28 12 6 28 12 23 12 12 28 4 12 28 24 12 12 12 12 12 12 34 36 24 12 38 12 37 12 12 23 29 5 12 28 12 28 23 34 0 23 12 24 30 0 28 12 38 0 13 1 19 0 13 0 38 13 13 38 13 1 3 3 20 1 13 20 0 0 0 19 0 42 0 3 38 31 41 0 13 32 38 19 13 31 0 38 38 38 13 0 0 3 13 19 3 13 3 0 20 19 31 3 1 13 3 19 3 20 3 1 38 20 19 19 42 42 1 19 27 0 3 19 1 19 33 19 19 31 0 1 42 38 19 13 19 38 38 19 31 1 13 38 13 19 1 3"
5,3,-0.8120,0.9524,0.4679,-0.3134,0.1016,"38 12 23 23 12 12 22 21 0 0 21 23 23 12 19 21 21 24 20 12 21 22 12 22 13 12 12 19 12 12 1 23 22 12 12 23 12 29 12 22 23 12 0 23 22 1 12 12 23 12 22 22 23 22 1 13 23 22 12 21 12 38 12 12 23 23 22 12 12 21 12 19 3 12 12 22 1 1 12 22 23 12 22 22 22 12 12 12 24 12 23 13 21 21 12 21 24 22 12 12 2 40 23 23 40 2 2 40 2 23 40 40 40 24 40 40 23 40 23 9 9 40 23 10 40 40 23 24 40 2 23 24 2 23 23 40 40 2 5 23 23 24 10 40 9 23 23 23 11 2 40 40 24 40 40 2 40 9 23 23 2 23 40 10 40 40 2 40 40 23 40 40 23 23 11 2 23 40 23 23 10 9 40 23 23 40 24 23 40 2 40 40 40 23 40 23 9 40 2 40 40 25 40 25 25 32 25 25 27 25 25 40 25 25 40 12 25 25 25 25 27 26 33 12 25 26 12 25 25 40 40 25 25 25 25 31 25 40 40 25 40 12 27 26 26 27 40 6 40 40 40 12 40 33 25 31 25 12 26 25 40 6 40 30 25 33 25 26 32 25 40 25 25 25 26 12 40 25 27 12 26 31 12 40 25 25 25 26 40 25 25 25 25 40 25 25 36 12 26 40 12 28 28 12 12 24 3 28 12 28 12 24 12 28 23 24 12 37 12 1 28 37 12 23 28 12 23 12 12 24 24 24 12 24 12 29 30 12 12 28 5 12 28 28 4 12 12 6 24 12 30 24 23 12 12 28 12 6 28 12 23 12 12 28 4 12 28 24 12 12 12 12 12 12 34 36 24 12 38 12 37 12 12 23 29 5 12 28 12 28 23 34 0 23 12 24 30 0 28 12 38 0 13 1 19 0 13 0 38 13 13 38 13 1 3 3 20 1 13 20 0 0 0 19 0 42 0 3 38 31 41 0 13 32 38 19 13 31 0 38 38 38 13 0 0 3 13 19 3 13 3 0 20 19 31 3 1 13 3 19 3 20 3 1 38 20 19 19 42 42 1 19 27 0 3 19 1 19 33 19 19 31 0 1 42 38 19 13 19 38 38 19 31 1 13 38 13 19 1 3"
6,4,-0.8282,0.9583,0.4337,-0.3078,0.0829,"1 3 26 41 41 19 0 19 25 41 41 24 41 0 0 41 25 25 13 20 19 41 3 23 3 1 27 0 41 41 38 25 41 41 41 25 19 25 41 1 41 3 19 41 41 19 41 41 25 41 23 23 26 20 41 19 41 3 19 25 3 20 38 41 38 0 41 41 3 13 41 0 41 25 28 20 41 19 41 41 1 41 3 19 38 13 41 41 1 41 13 41 41 20 41 23 13 41 41 19 0 25 27 25 25 39 25 39 39 25 25 1 25 25 39 25 25 25 25 25 27 32 25 39 25 27 25 0 27 39 25 25 25 0 31 39 25 25 26 27 39 0 39 26 25 25 25 38 25 39 39 25 12 39 25 25 38 39 9 25 25 39 39 25 25 27 25 25 25 26 25 31 39 39 39 25 25 25 25 39 27 27 39 39 39 3 0 25 26 39 26 12 25 25 25 39 25 25 25 25 41 41 38 17 17 3 41 5 18 17 17 38 41 17 28 17 17 1 17 18 41 17 17 28 17 38 39 38 17 39 41 3 17 28 17 41 18 0 17 18 17 18 17 17 17 17 41 18 17 17 17 12 17 18 3 17 17 17 41 17 0 28 18 17 17 39 28 0 17 17 18 30 18 41 17 41 41 41 39 28 17 17 38 18 18 28 17 17 1 18 0 3 13 17 17 0 17 17 3 1 30 21 28 21 21 28 21 21 28 28 28 29 28 21 13 28 21 22 28 28 28 28 30 28 28 30 30 21 30 28 21 29 30 28 21 28 28 30 21 21 28 22 22 21 22 28 12 21 28 30 28 28 21 28 21 28 21 28 28 28 21 30 28 28 28 28 28 22 29 28 30 21 28 28 30 30 12 28 28 30 22 21 28 22 21 22 22 29 30 12 29 28 30 28 29 29 21 29 28 28 13 16 3 16 16 25 16 12 1 41 3 16 38 16 3 13 1 16 3 13 38 12 1 12 16 41 12 25 12 41 12 25 0 41 16 16 38 1 3 3 16 12 41 16 38 38 26 1 25 1 1 12 16 12 0 16 16 0 12 16 41 1 12 12 16 16 0 41 12 12 12 41 3 3 41 41 16 16 16 13 0 12 38 0 16 41 16 41 41 12 12 41 12 1 13 38 26 16 41 16"
7,5,-0.8568,1.0000,0.4775,-0.3143,0.0986,"1 3 26 41 41 19 0 19 25 41 41 24 41 0 0 41 25 25 13 20 19 41 3 23 3 1 27 0 41 41 38 25 41 41 41 25 19 25 41 1 41 3 19 41 41 19 41 41 25 41 23 23 26 20 41 19 41 3 19 25 3 20 38 41 38 0 41 41 3 13 41 0 41 25 28 20 41 19 41 41 1 41 3 19 38 13 41 41 1 41 13 41 41 20 41 23 13 41 41 19 0 25 27 25 25 39 25 39 39 25 25 1 25 25 39 25 25 25 25 25 27 32 25 39 25 27 25 0 27 39 25 25 25 0 31 39 25 25 26 27 39 0 39 26 25 25 25 38 25 39 39 25 12 39 25 25 38 39 9 25 25 39 39 25 25 27 25 25 25 26 25 31 39 39 39 25 25 25 25 39 27 27 39 39 39 3 0 25 26 39 26 12 25 25 25 39 25 25 25 25 41 41 38 17 17 3 41 5 18 17 17 38 41 17 28 17 17 1 17 18 41 17 17 28 17 38 39 38 17 39 41 3 17 28 17 41 18 0 17 18 17 18 17 17 17 17 41 18 17 17 17 12 17 18 3 17 17 17 41 17 0 28 18 17 17 39 28 0 17 17 18 30 18 41 17 41 41 41 39 28 17 17 38 18 18 28 17 17 1 18 0 3 13 17 17 0 17 17 3 1 30 21 28 21 21 28 21 21 28 28 28 29 28 21 13 28 21 22 28 28 28 28 30 28 28 30 30 21 30 28 21 29 30 28 21 28 28 30 21 21 28 22 22 21 22 28 12 21 28 30 28 28 21 28 21 28 21 28 28 28 21 30 28 28 28 28 28 22 29 28 30 21 28 28 30 30 12 28 28 30 22 21 28 22 21 22 22 29 30 12 29 28 30 28 29 29 21 29 28 28 13 16 3 16 16 25 16 12 1 41 3 16 38 16 3 13 1 16 3 13 38 12 1 12 16 41 12 25 12 41 12 25 0 41 16 16 38 1 3 3 16 12 41 16 38 38 26 1 25 1 1 12 16 12 0 16 16 0 12 16 41 1 12 12 16 16 0 41 12 12 12 41 3 3 41 41 16 16 16 13 0 12 38 0 16 41 16 41 41 12 12 41 12 1 13 38 26 16 41 16"
8,5,-0.8297,1.0000,0.5677,-0.3075,0.0646,"1 3 26 41 41 19 0 19 25 41 41 24 41 0 0 41 25 25 13 20 19 41 3 23 3 1 27 0 41 41 38 25 41 41 41 25 19 25 41 1 41 3 19 41 41 19 41 41 25 41 23 23 26 20 41 19 41 3 19 25 3 20 38 41 38 0 41 41 3 13 41 0 41 25 28 20 41 19 41 41 1 41 3 19 38 13 41 41 1 41 13 41 41 20 41 23 13 41 41 19 0 25 27 25 25 39 25 39 39 25 25 1 25 25 39 25 25 25 25 25 27 32 25 39 25 27 25 0 27 39 25 25 25 0 31 39 25 25 26 27 39 0 39 26 25 25 25 38 25 39 39 25 12 39 25 25 38 39 9 25 25 39 39 25 25 27 25 25 25 26 25 31 39 39 39 25 25 25 25 39 27 27 39 39 39 3 0 25 26 39 26 12 25 25 25 39 25 25 25 25 41 41 38 17 17 3 41 5 18 17 17 38 41 17 28 17 17 1 17 18 41 17 17 28 17 38 39 38 17 39 41 3 17 28 17 41 18 0 17 18 17 18 17 17 17 17 41 18 17 17 17 12 17 18 3 17 17 17 41 17 0 28 18 17 17 39 28 0 17 17 18 30 18 41 17 41 41 41 39 28 17 17 38 18 18 28 17 17 1 18 0 3 13 17 17 0 17 17 3 1 30 21 28 21 21 28 21 21 28 28 28 29 28 21 13 28 21 22 28 28 28 28 30 28 28 30 30 21 30 28 21 29 30 28 21 28 28 30 21 21 28 22 22 21 22 28 12 21 28 30 28 28 21 28 21 28 21 28 28 28 21 30 28 28 28 28 28 22 29 28 30 21 28 28 30 30 12 28 28 30 22 21 28 22 21 22 22 29 30 12 29 28 30 28 29 29 21 29 28 28 13 16 3 16 16 25 16 12 1 41 3 16 38 16 3 13 1 16 3 13 38 12 1 12 16 41 12 25 12 41 12 25 0 41 16 16 38 1 3 3 16 12 41 16 38 38 26 1 25 1 1 12 16 12 0 16 16 0 12 16 41 1 12 12 16 16 0 41 12 12 12 41 3 3 41 41 16 16 16 13 0 12 38 0 16 41 16 41 41 12 12 41 12 1 13 38 26 16 41 16"
9,5,-0.7973,0.9630,0.5523,-0.3260,0.0822,"1 3 26 41 41 19 0 19 25 41 41 24 41 0 0 41 25 25 13 20 19 41 3 23 3 1 27 0 41 41 38 25 41 41 41 25 19 25 41 1 41 3 19 41 41 19 41 41 25 41 23 23 26 20 41 19 41 3 19 25 3 20 38 41 38 0 41 41 3 13 41 0 41 25 28 20 41 19 41 41 1 41 3 19 38 13 41 41 1 41 13 41 41 20 41 23 13 41 41 19 0 25 27 25 25 39 25 39 39 25 25 1 25 25 39 25 25 25 25 25 27 32 25 39 25 27 25 0 27 39 25 25 25 0 31 39 25 25 26 27 39 0 39 26 25 25 25 38 25 39 39 25 12 39 25 25 38 39 9 25 25 39 39 25 25 27 25 25 25 26 25 31 39 39 39 25 25 25 25 39 27 27 39 39 39 3 0 25 26 39 26 12 25 25 25 39 25 25 25 25 41 41 38 17 17 3 41 5 18 17 17 38 41 17 28 17 17 1 17 18 41 17 17 28 17 38 39 38 17 39 41 3 17 28 17 41 18 0 17 18 17 18 17 17 17 17 41 18 17 17 17 12 17 18 3 17 17 17 41 17 0 28 18 17 17 39 28 0 17 17 18 30 18 41 17 41 41 41 39 28 17 17 38 18 18 28 17 17 1 18 0 3 13 17 17 0 17 17 3 1 30 21 28 21 21 28 21 21 28 28 28 29 28 21 13 28 21 22 28 28 28 28 30 28 28 30 30 21 30 28 21 29 30 28 21 28 28 30 21 21 28 22 22 21 22 28 12 21 28 30 28 28 21 28 21 28 21 28 28 28 21 30 28 28 28 28 28 22 29 28 30 21 28 28 30 30 12 28 28 30 22 21 28 22 21 22 22 29 30 12 29 28 30 28 29 29 21 29 28 28 13 16 3 16 16 25 16 12 1 41 3 16 38 16 3 13 1 16 3 13 38 12 1 12 16 41 12 25 12 41 12 25 0 41 16 16 38 1 3 3 16 12 41 16 38 38 26 1 25 1 1 12 16 12 0 16 16 0 12 16 41 1 12 12 16 16 0 41 12 12 12 41 3 3 41 41 16 16 16 13 0 12 38 0 16 41 16 41 41 12 12 41 12 1 13 38 26 16 41 16"
