# seed=17
# instance=PIECEWISE
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.6141,0.8929,0.9292,-0.1783,0.2413,"38 5 15 38 11 23 39 30 28 35 37 7 21 27 39 20 42 23 38 10 0 39 11 10 18 18 19 3 17 42 19 27 9 40 8 22 13 28 2 4 1 0 30 23 30 21 10 37 5 7 3 26 19 15 32 4 33 6 31 22 26 31 12 39 19 1 34 1 32 25 31 0 7 8 20 24 6 34 8 3 10 35 10 38 8 7 26 9 7 17 12 0 13 6 41 15 39 5 28 24 14 8 18 36 12 17 39 15 13 40 8 8 24 12 9 33 2 14 34 9 16 24 8 39 36 3 26 34 13 9 20 18 16 11 18 37 39 6 18 1 37 40 41 13 24 11 7 10 4 37 26 0 29 10 14 15 33 24 7 18 33 9 24 21 2 5 23 31 22 28 35 38 2 16 18 30 5 12 41 10 23 6 12 23 17 27 1 6 13 15 41 12 19 15 14 26 16 42 1 2 27 4 39 21 9 11 24 41 21 34 2 20 38 1 1 0 34 14 13 4 36 10 7 36 15 32 39 35 42 8 41 15 7 41 7 31 37 1 7 16 7 7 38 34 3 38 39 13 8 20 3 16 16 21 13 32 21 10 13 27 20 22 23 4 14 21 0 14 16 13 19 4 31 23 6 18 36 16 7 38 15 38 15 12 10 36 25 18 0 19 7 1 5 0 38 11 16 30 10 42 33 40 40 20 16 0 24 30 34 24 24 30 36 31 30 34 40 26 39 18 33 1 36 41 39 26 33 19 18 1 4 33 12 30 8 17 32 1 19 35 17 3 37 7 22 18 5 9 30 21 32 7 0 39 16 11 12 32 7 2 6 27 25 12 38 27 33 40 29 0 5 16 42 40 4 3 27 33 30 6 10 38 1 19 42 7 7 25 38 35 12 19 1 19 31 20 21 39 15 22 23 41 24 26 1 38 16 0 18 29 41 27 6 19 28 0 12 6 23 16 4 4 36 1 17 17 35 20 12 29 8 41 42 0 35 38 30 1 27 0 28 12 1 3 26 25 18 8 16 4 41 33 10 19 3 38 24 3 33 17 34 3 40 12 13 34 0 18 3 42 17 30 40 42 11 13 4 14 7 5 29 28 18 37 29 21 16 28 35 8 37 10 36 20 7 42 30 24 1 36"
1,2,-0.6985,0.9091,0.7019,-0.2162,0.2037,"3 10 0 2 2 2 2 3 9 10 9 9 2 2 0 11 2 3 9 10 2 2 9 0 3 3 10 0 3 2 2 2 12 3 0 2 0 3 2 3 2 0 9 0 9 10 10 3 3 35 0 10 34 3 0 0 11 2 0 3 2 11 0 10 12 0 15 12 2 9 35 2 3 34 3 2 2 3 36 35 3 2 0 3 12 12 10 9 3 0 4 10 36 34 2 3 2 0 41 9 13 31 1 8 31 37 38 13 38 2 37 2 7 7 3 13 8 32 6 32 7 3 31 29 6 1 8 31 7 38 0 8 7 7 31 7 0 32 7 7 0 7 7 1 7 7 7 0 31 38 7 0 8 32 8 7 38 8 7 13 7 2 20 7 7 7 7 4 1 42 31 1 7 7 31 1 13 7 31 28 0 7 7 13 31 3 32 7 0 1 1 28 13 2 38 0 38 38 7 1 38 0 16 8 7 7 3 38 7 8 0 7 16 8 3 7 7 3 18 7 12 7 0 3 7 8 7 38 3 1 3 0 7 0 0 7 38 7 3 8 25 0 0 0 25 7 0 0 8 7 7 7 12 7 7 25 13 0 7 0 38 16 7 38 27 8 7 12 3 3 7 7 0 7 7 7 16 3 0 3 0 0 0 0 7 8 25 7 7 3 3 1 0 3 3 7 25 7 7 7 12 12 12 18 12 12 12 15 12 35 12 12 12 17 12 12 19 33 20 19 19 19 20 12 20 18 12 12 12 20 12 12 19 12 20 12 12 12 12 4 12 12 17 19 18 12 12 20 12 18 12 12 12 17 19 12 18 15 12 12 12 41 12 12 12 12 12 12 23 12 12 19 41 17 28 19 18 12 12 19 20 12 30 18 12 12 30 11 12 12 19 12 18 20 20 18 12 20 42 20 21 12 21 21 12 14 12 12 22 12 3 12 12 15 12 12 12 12 12 14 0 2 0 21 14 14 32 40 12 1 12 21 12 14 21 22 12 42 12 12 38 22 22 12 1 15 14 3 12 12 0 14 14 12 12 12 14 15 27 21 12 14 12 12 1 12 12 21 38 14 39 12 12 15 12 12 12 15 21 12 21 21 13 39 12 15 21 13 12 12 12 21 12 12 12 12 15 12 21 15"
2,3,-0.7406,0.9091,0.5616,-0.2679,0.1699,"21 15 39 39 6 2 2 6 5 21 21 21 2 39 21 2 21 22 21 2 21 21 2 21 42 42 42 2 39 3 21 37 2 2 2 21 21 2 21 21 2 21 6 2 22 42 2 21 21 3 21 21 21 21 21 21 21 21 21 21 42 2 26 22 21 2 2 2 21 21 40 21 21 31 21 21 21 2 21 6 2 22 42 21 21 21 2 21 22 37 21 21 2 21 22 4 2 21 21 21 2 2 2 29 28 2 2 37 2 2 2 2 41 0 2 28 37 5 6 2 2 2 2 2 3 3 4 4 12 2 27 0 30 29 28 2 2 37 6 29 0 2 28 0 2 5 2 0 2 28 37 25 5 0 28 2 29 2 2 2 0 2 2 2 28 12 0 2 0 12 2 4 2 5 28 27 28 28 29 28 2 2 6 4 2 0 6 0 28 2 37 2 2 4 6 2 2 0 2 2 0 3 3 3 2 2 2 42 2 1 13 37 0 2 13 37 5 2 37 1 1 7 2 7 2 38 1 7 1 8 2 8 8 2 1 2 0 6 8 13 38 3 2 2 7 2 2 29 25 0 2 0 25 0 0 1 5 1 25 0 2 2 2 2 7 2 7 1 2 2 2 0 13 8 25 13 13 13 2 2 12 2 2 2 2 2 2 13 1 2 12 2 2 4 2 37 2 7 42 2 7 3 12 2 13 8 16 2 16 2 8 7 12 2 8 8 12 39 7 12 12 16 12 12 7 16 16 8 2 12 8 12 8 2 2 2 2 8 2 0 2 2 16 8 26 0 12 12 2 12 41 2 7 2 2 26 12 16 16 7 2 7 7 3 2 2 3 2 7 2 12 7 26 7 2 1 2 12 12 8 2 0 7 2 2 16 2 2 2 2 16 25 2 7 26 12 2 16 12 2 12 19 1 7 7 3 8 7 7 3 7 8 21 19 7 1 38 7 7 8 20 7 7 7 1 38 13 7 11 7 1 8 1 38 7 0 19 11 12 19 19 8 8 8 13 38 19 13 8 7 7 7 13 10 19 7 0 3 7 7 7 39 7 13 19 12 1 20 39 7 9 0 7 8 7 19 22 1 0 7 39 9 13 19 7 19 3 13 3 19 7 7 8 13 8 7 7 7 19 20"
3,4,-0.7722,0.9259,0.5124,-0.2880,0.1705,"8 2 19 2 19 20 2 20 2 2 2 7 7 20 2 7 2 19 2 2 20 8 19 2 8 19 19 2 19 2 19 2 7 19 8 8 2 19 2 19 2 19 2 19 2 2 7 2 7 20 19 2 19 2 8 2 33 2 19 8 7 19 2 20 2 7 34 2 2 20 19 7 19 8 20 19 2 8 2 19 2 2 19 8 8 2 2 2 19 20 7 8 2 2 8 2 8 5 7 19 31 7 27 25 31 31 7 2 31 40 31 8 31 31 31 32 7 31 31 32 2 31 8 32 10 31 2 8 7 9 33 2 26 2 18 27 31 2 32 31 32 27 33 31 8 11 31 25 8 32 26 31 2 31 31 31 31 25 33 2 25 31 2 9 2 33 33 31 31 32 31 2 31 31 8 2 2 32 25 2 31 7 31 33 31 31 2 31 31 33 31 8 31 25 33 31 2 31 2 2 21 21 39 21 9 22 24 22 21 34 21 22 21 21 1 21 34 14 21 21 21 21 21 22 15 21 21 22 42 8 41 15 21 21 7 31 21 1 7 21 21 21 38 21 22 21 21 13 8 21 3 16 16 21 21 32 21 21 21 21 20 21 22 21 14 21 0 14 16 13 19 21 31 21 21 21 22 21 7 22 15 38 22 21 10 22 21 18 0 19 21 21 21 21 21 21 16 22 21 42 33 3 40 13 16 3 0 38 34 3 3 30 0 3 3 34 1 3 0 38 3 0 36 0 0 0 3 19 18 1 4 13 0 13 8 17 0 1 38 0 0 3 37 7 38 18 5 3 30 21 38 7 0 39 0 3 3 0 0 2 6 0 41 12 38 3 33 38 29 13 5 16 3 40 3 3 1 0 0 38 10 0 0 19 3 7 3 25 38 35 3 19 1 19 13 20 21 39 15 22 2 37 2 2 2 2 23 2 2 2 2 23 4 2 2 5 12 2 5 2 37 37 42 2 17 6 37 5 2 4 4 42 42 2 6 6 2 4 2 2 42 2 23 42 2 23 2 23 2 37 4 2 23 6 2 38 24 5 5 2 5 37 4 4 2 2 6 2 3 5 2 37 23 42 2 2 23 2 42 37 5 42 2 6 24 2 37 24 24 2 42 2 2 5 5 5 2 2 2 42"
4,5,-0.7791,0.9545,0.5848,-0.2917,0.1705,"21 15 39 39 6 2 2 6 5 21 21 21 2 39 21 2 21 22 21 2 21 21 2 21 42 42 42 2 39 3 21 37 2 2 2 21 21 2 21 21 2 21 6 2 22 42 2 21 21 3 21 21 21 21 21 21 21 21 21 21 42 2 26 22 21 2 2 2 21 21 40 21 21 31 21 21 21 2 21 6 2 22 42 21 21 21 2 21 22 37 21 21 2 21 22 4 2 21 21 21 2 2 2 29 28 2 2 37 2 2 2 2 41 0 2 28 37 5 6 2 2 2 2 2 3 3 4 4 12 2 27 0 30 29 28 2 2 37 6 29 0 2 28 0 2 5 2 0 2 28 37 25 5 0 28 2 29 2 2 2 0 2 2 2 28 12 0 2 0 12 2 4 2 5 28 27 28 28 29 28 2 2 6 4 2 0 6 0 28 2 37 2 2 4 6 2 2 0 2 2 0 3 3 3 2 2 2 42 2 1 13 37 0 2 13 37 5 2 37 1 1 7 2 7 2 38 1 7 1 8 2 8 8 2 1 2 0 6 8 13 38 3 2 2 7 2 2 29 25 0 2 0 25 0 0 1 5 1 25 0 2 2 2 2 7 2 7 1 2 2 2 0 13 8 25 13 13 13 2 2 12 2 2 2 2 2 2 13 1 2 12 2 2 4 2 37 2 7 42 2 7 3 12 2 13 8 16 2 16 2 8 7 12 2 8 8 12 39 7 12 12 16 12 12 7 16 16 8 2 12 8 12 8 2 2 2 2 8 2 0 2 2 16 8 26 0 12 12 2 12 41 2 7 2 2 26 12 16 16 7 2 7 7 3 2 2 3 2 7 2 12 7 26 7 2 1 2 12 12 8 2 0 7 2 2 16 2 2 2 2 16 25 2 7 26 12 2 16 12 2 12 19 1 7 7 3 8 7 7 3 7 8 21 19 7 1 38 7 7 8 20 7 7 7 1 38 13 7 11 7 1 8 1 38 7 0 19 11 12 19 19 8 8 8 13 38 19 13 8 7 7 7 13 10 19 7 0 3 7 7 7 39 7 13 19 12 1 20 39 7 9 0 7 8 7 19 22 1 0 7 39 9 13 19 7 19 3 13 3 19 7 7 8 13 8 7 7 7 19 20"
5,5,-0.7609,0.9583,0.6583,-0.3043,0.1323,"21 15 39 39 6 2 2 6 5 21 21 21 2 39 21 2 21 22 21 2 21 21 2 21 42 42 42 2 39 3 21 37 2 2 2 21 21 2 21 21 2 21 6 2 22 42 2 21 21 3 21 21 21 21 21 21 21 21 21 21 42 2 26 22 21 2 2 2 21 21 40 21 21 31 21 21 21 2 21 6 2 22 42 21 21 21 2 21 22 37 21 21 2 21 22 4 2 21 21 21 2 2 2 29 28 2 2 37 2 2 2 2 41 0 2 28 37 5 6 2 2 2 2 2 3 3 4 4 12 2 27 0 30 29 28 2 2 37 6 29 0 2 28 0 2 5 2 0 2 28 37 25 5 0 28 2 29 2 2 2 0 2 2 2 28 12 0 2 0 12 2 4 2 5 28 27 28 28 29 28 2 2 6 4 2 0 6 0 28 2 37 2 2 4 6 2 2 0 2 2 0 3 3 3 2 2 2 42 2 1 13 37 0 2 13 37 5 2 37 1 1 7 2 7 2 38 1 7 1 8 2 8 8 2 1 2 0 6 8 13 38 3 2 2 7 2 2 29 25 0 2 0 25 0 0 1 5 1 25 0 2 2 2 2 7 2 7 1 2 2 2 0 13 8 25 13 13 13 2 2 12 2 2 2 2 2 2 13 1 2 12 2 2 4 2 37 2 7 42 2 7 3 12 2 13 8 16 2 16 2 8 7 12 2 8 8 12 39 7 12 12 16 12 12 7 16 16 8 2 12 8 12 8 2 2 2 2 8 2 0 2 2 16 8 26 0 12 12 2 12 41 2 7 2 2 26 12 16 16 7 2 7 7 3 2 2 3 2 7 2 12 7 26 7 2 1 2 12 12 8 2 0 7 2 2 16 2 2 2 2 16 25 2 7 26 12 2 16 12 2 12 19 1 7 7 3 8 7 7 3 7 8 21 19 7 1 38 7 7 8 20 7 7 7 1 38 13 7 11 7 1 8 1 38 7 0 19 11 12 19 19 8 8 8 13 38 19 13 8 7 7 7 13 10 19 7 0 3 7 7 7 39 7 13 19 12 1 20 39 7 9 0 7 8 7 19 22 1 0 7 39 9 13 19 7 19 3 13 3 19 7 7 8 13 8 7 7 7 19 20"
6,5,-0.7702,0.9231,0.5095,-0.3023,0.1172,"21 15 39 39 6 2 2 6 5 21 21 21 2 39 21 2 21 22 21 2 21 21 2 21 42 42 42 2 39 3 21 37 2 2 2 21 21 2 21 21 2 21 6 2 22 42 2 21 21 3 21 21 21 21 21 21 21 21 21 21 42 2 26 22 21 2 2 2 21 21 40 21 21 31 21 21 21 2 21 6 2 22 42 21 21 21 2 21 22 37 21 21 2 21 22 4 2 21 21 21 2 2 2 29 28 2 2 37 2 2 2 2 41 0 2 28 37 5 6 2 2 2 2 2 3 3 4 4 12 2 27 0 30 29 28 2 2 37 6 29 0 2 28 0 2 5 2 0 2 28 37 25 5 0 28 2 29 2 2 2 0 2 2 2 28 12 0 2 0 12 2 4 2 5 28 27 28 28 29 28 2 2 6 4 2 0 6 0 28 2 37 2 2 4 6 2 2 0 2 2 0 3 3 3 2 2 2 42 2 1 13 37 0 2 13 37 5 2 37 1 1 7 2 7 2 38 1 7 1 8 2 8 8 2 1 2 0 6 8 13 38 3 2 2 7 2 2 29 25 0 2 0 25 0 0 1 5 1 25 0 2 2 2 2 7 2 7 1 2 2 2 0 13 8 25 13 13 13 2 2 12 2 2 2 2 2 2 13 1 2 12 2 2 4 2 37 2 7 42 2 7 3 12 2 13 8 16 2 16 2 8 7 12 2 8 8 12 39 7 12 12 16 12 12 7 16 16 8 2 12 8 12 8 2 2 2 2 8 2 0 2 2 16 8 26 0 12 12 2 12 41 2 7 2 2 26 12 16 16 7 2 7 7 3 2 2 3 2 7 2 12 7 26 7 2 1 2 12 12 8 2 0 7 2 2 16 2 2 2 2 16 25 2 7 26 12 2 16 12 2 12 19 1 7 7 3 8 7 7 3 7 8 21 19 7 1 38 7 7 8 20 7 7 7 1 38 13 7 11 7 1 8 1 38 7 0 19 11 12 19 19 8 8 8 13 38 19 13 8 7 7 7 13 10 19 7 0 3 7 7 7 39 7 13 19 12 1 20 39 7 9 0 7 8 7 19 22 1 0 7 39 9 13 19 7 19 3 13 3 19 7 7 8 13 8 7 7 7 19 20"
7,5,-0.7729,0.9000,0.4237,-0.3069,0.1502,"21 15 39 39 6 2 2 6 5 21 21 21 2 39 21 2 21 22 21 2 21 21 2 21 42 42 42 2 39 3 21 37 2 2 2 21 21 2 21 21 2 21 6 2 22 42 2 21 21 3 21 21 21 21 21 21 21 21 21 21 42 2 26 22 21 2 2 2 21 21 40 21 21 31 21 21 21 2 21 6 2 22 42 21 21 21 2 21 22 37 21 21 2 21 22 4 2 21 21 21 2 2 2 29 28 2 2 37 2 2 2 2 41 0 2 28 37 5 6 2 2 2 2 2 3 3 4 4 12 2 27 0 30 29 28 2 2 37 6 29 0 2 28 0 2 5 2 0 2 28 37 25 5 0 28 2 29 2 2 2 0 2 2 2 28 12 0 2 0 12 2 4 2 5 28 27 28 28 29 28 2 2 6 4 2 0 6 0 28 2 37 2 2 4 6 2 2 0 2 2 0 3 3 3 2 2 2 42 2 1 13 37 0 2 13 37 5 2 37 1 1 7 2 7 2 38 1 7 1 8 2 8 8 2 1 2 0 6 8 13 38 3 2 2 7 2 2 29 25 0 2 0 25 0 0 1 5 1 25 0 2 2 2 2 7 2 7 1 2 2 2 0 13 8 25 13 13 13 2 2 12 2 2 2 2 2 2 13 1 2 12 2 2 4 2 37 2 7 42 2 7 3 12 2 13 8 16 2 16 2 8 7 12 2 8 8 12 39 7 12 12 16 12 12 7 16 16 8 2 12 8 12 8 2 2 2 2 8 2 0 2 2 16 8 26 0 12 12 2 12 41 2 7 2 2 26 12 16 16 7 2 7 7 3 2 2 3 2 7 2 12 7 26 7 2 1 2 12 12 8 2 0 7 2 2 16 2 2 2 2 16 25 2 7 26 12 2 16 12 2 12 19 1 7 7 3 8 7 7 3 7 8 21 19 7 1 38 7 7 8 20 7 7 7 1 38 13 7 11 7 1 8 1 38 7 0 19 11 12 19 19 8 8 8 13 38 19 13 8 7 7 7 13 10 19 7 0 3 7 7 7 39 7 13 19 12 1 20 39 7 9 0 7 8 7 19 22 1 0 7 39 9 13 19 7 19 3 13 3 19 7 7 8 13 8 7 7 7 19 20"
8,6,-0.7870,0.9286,0.4720,-0.3080,0.1481,"14 19 1 19 17 15 34 3 34 19 14 37 23 17 2 19 19 2 17 14 2 14 4 17 15 19 34 2 4 42 17 19 4 37 4 0 35 17 15 15 35 19 5 19 5 23 4 17 17 15 17 14 15 19 34 6 2 14 19 17 17 17 15 15 4 15 0 34 14 4 34 37 2 6 15 24 42 15 14 19 14 19 14 4 17 15 14 17 17 15 17 2 34 17 17 19 17 35 1 6 2 1 2 5 37 1 0 0 2 6 5 38 1 0 5 1 37 5 37 6 2 2 2 37 13 4 13 4 3 13 27 0 30 4 0 0 1 4 6 13 0 2 1 1 2 5 6 0 2 37 37 25 0 13 38 3 29 38 2 2 0 37 38 2 5 0 13 2 0 2 2 5 2 38 38 27 28 37 0 28 38 2 6 2 2 2 13 2 28 13 0 13 2 5 6 2 2 5 4 0 1 1 0 22 3 1 2 0 3 13 3 6 0 2 9 37 41 2 38 3 22 41 41 4 41 3 12 4 12 3 1 41 2 13 0 1 12 41 12 41 41 0 6 41 41 41 4 1 1 1 3 3 41 41 38 13 41 41 22 41 41 30 41 41 0 41 41 41 31 41 41 3 1 41 0 3 1 41 41 3 41 38 13 1 13 3 41 2 41 41 12 41 1 41 23 38 37 41 4 0 28 25 29 25 25 25 0 25 0 28 30 28 28 30 27 26 25 29 0 2 25 25 25 26 25 25 28 27 25 25 28 30 25 0 37 28 28 25 3 28 26 27 25 28 0 27 29 28 28 25 25 28 28 3 6 26 28 22 27 5 28 25 27 25 30 27 0 3 25 28 27 3 26 3 29 25 30 27 25 26 25 30 25 26 4 25 3 28 28 12 25 25 25 29 28 28 0 27 3 26 34 25 25 25 25 25 25 27 25 34 25 25 25 34 25 25 25 36 25 25 25 25 25 26 34 25 25 25 14 25 25 25 25 25 25 26 35 25 36 25 26 25 25 25 27 25 14 25 12 34 25 25 25 12 25 26 25 15 15 25 25 27 25 34 25 25 25 25 25 25 25 25 25 25 25 14 25 25 25 25 12 25 25 27 26 25 26 25 34 27 12 34 25 25 34 14 26 34 25 12"
9,6,-0.7698,0.9200,0.5008,-0.3161,0.1553,"14 19 1 19 17 15 34 3 34 19 14 37 23 17 2 19 19 2 17 14 2 14 4 17 15 19 34 2 4 42 17 19 4 37 4 0 35 17 15 15 35 19 5 19 5 23 4 17 17 15 17 14 15 19 34 6 2 14 19 17 17 17 15 15 4 15 0 34 14 4 34 37 2 6 15 24 42 15 14 19 14 19 14 4 17 15 14 17 17 15 17 2 34 17 17 19 17 35 1 6 2 1 2 5 37 1 0 0 2 6 5 38 1 0 5 1 37 5 37 6 2 2 2 37 13 4 13 4 3 13 27 0 30 4 0 0 1 4 6 13 0 2 1 1 2 5 6 0 2 37 37 25 0 13 38 3 29 38 2 2 0 37 38 2 5 0 13 2 0 2 2 5 2 38 38 27 28 37 0 28 38 2 6 2 2 2 13 2 28 13 0 13 2 5 6 2 2 5 4 0 1 1 0 22 3 1 2 0 3 13 3 6 0 2 9 37 41 2 38 3 22 41 41 4 41 3 12 4 12 3 1 41 2 13 0 1 12 41 12 41 41 0 6 41 41 41 4 1 1 1 3 3 41 41 38 13 41 41 22 41 41 30 41 41 0 41 41 41 31 41 41 3 1 41 0 3 1 41 41 3 41 38 13 1 13 3 41 2 41 41 12 41 1 41 23 38 37 41 4 0 28 25 29 25 25 25 0 25 0 28 30 28 28 30 27 26 25 29 0 2 25 25 25 26 25 25 28 27 25 25 28 30 25 0 37 28 28 25 3 28 26 27 25 28 0 27 29 28 28 25 25 28 28 3 6 26 28 22 27 5 28 25 27 25 30 27 0 3 25 28 27 3 26 3 29 25 30 27 25 26 25 30 25 26 4 25 3 28 28 12 25 25 25 29 28 28 0 27 3 26 34 25 25 25 25 25 25 27 25 34 25 25 25 34 25 25 25 36 25 25 25 25 25 26 34 25 25 25 14 25 25 25 25 25 25 26 35 25 36 25 26 25 25 25 27 25 14 25 12 34 25 25 25 12 25 26 25 15 15 25 25 27 25 34 25 25 25 25 25 25 25 25 25 25 25 14 25 25 25 25 12 25 25 27 26 25 26 25 34 27 12 34 25 25 34 14 26 34 25 12"
