# seed=-123456
# instance=PIECEWISE
# popSize=100
# generations=100
# crossover=BlockUniformCrossover(p=0.75)
# mutation=FlipMutation(p0=0.3,pMin=0.02,alpha=0.9)
# selection=NaryTournament(k=3)
# elitism=3
# lambda_similarity=0.3
# fights_per_team=5
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.7647,0.7647,0.0000,-0.1118,0.2815,"34 14 20 32 37 33 34 8 32 40 25 36 7 2 25 36 1 38 2 14 10 17 1 22 37 20 12 6 24 7 0 14 39 2 27 14 38 36 16 39 2 41 37 15 30 32 40 37 36 10 10 34 17 12 41 32 22 0 2 8 28 37 1 11 11 35 41 41 42 41 13 25 32 40 12 23 37 37 37 0 20 34 22 10 0 9 4 34 2 10 3 2 13 11 21 40 32 27 37 20 41 5 30 2 5 22 35 34 29 28 3 28 25 25 11 23 23 0 12 12 18 29 3 36 0 15 3 28 27 9 24 39 9 0 14 10 22 20 8 20 39 14 28 18 40 18 34 29 3 39 8 3 33 33 3 38 5 22 38 41 1 32 7 17 0 40 13 38 15 16 17 35 42 17 30 6 31 26 4 18 33 6 26 1 24 34 17 36 14 21 0 15 26 18 34 7 26 35 34 21 16 28 20 19 13 35 27 7 28 32 16 37 25 27 25 22 16 32 4 15 38 31 14 37 30 0 20 13 13 38 2 3 19 22 8 5 15 35 16 39 19 41 39 33 37 24 11 0 31 1 19 7 34 19 8 39 27 28 42 14 32 25 7 18 13 32 41 33 20 42 37 34 27 4 38 34 42 35 10 29 27 36 23 5 41 4 21 30 11 39 29 36 10 33 19 2 36 29 9 32 20 21 19 2 38 7 3 26 2 28 35 29 37 24 29 26 35 41 20 17 26 9 8 28 41 31 13 16 33 7 30 37 15 17 3 14 32 4 14 15 19 11 2 6 34 9 34 18 27 28 5 21 12 9 22 18 11 39 13 19 37 24 26 21 21 23 37 42 23 16 8 9 40 23 34 36 39 2 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 17 18 8 2 9 9 31 30 39 37 34 27 12 29 12 12 21 27 6 37 40 21 1 38 18 2 31 16 26 11 26 37 13 5 42 7 15 7 26 27 17 23 3 1 28 35 25 32 2 26 20 23 15 22 15 16 18 40 19 2 32 36 2 22 41 26 30 34 35 4 9 15 10 4 4 3 31 41 27 42 13 34 30 16 41 14 38 4 7 29 4 4 12 29 27 1 2 24 7 28 0 17 39 38 30 39 42"
1,2,-0.8421,0.8421,0.0000,-0.1689,0.1959,"39 11 25 39 10 9 11 18 33 32 32 17 33 20 18 17 36 17 17 33 11 31 29 29 7 33 33 12 20 32 18 30 12 11 39 28 31 17 35 9 26 39 26 32 18 10 21 34 33 11 19 39 20 35 9 2 39 19 19 10 10 37 9 17 11 31 32 9 30 12 28 29 11 33 10 8 20 15 17 25 18 7 12 9 31 33 7 28 29 18 28 32 29 14 18 12 35 29 4 26 39 25 9 9 0 7 28 8 29 25 23 32 24 10 30 39 20 26 17 33 26 10 30 25 8 2 23 20 28 4 8 7 39 26 29 3 10 19 20 17 18 28 8 31 7 33 9 17 32 7 23 9 7 26 40 8 7 8 29 32 10 20 8 12 27 33 25 31 40 12 19 32 21 18 30 39 27 19 32 2 7 28 12 8 5 12 27 20 9 29 34 11 39 40 14 7 33 28 25 2 18 12 31 35 12 18 39 12 34 19 32 32 10 2 34 36 35 35 29 36 34 12 39 35 33 36 39 11 0 12 34 11 36 35 12 34 11 26 11 18 35 25 10 2 35 35 32 10 29 9 32 18 39 31 34 13 2 32 34 39 29 36 33 35 36 32 39 37 0 35 35 20 10 1 28 36 33 28 9 39 32 19 33 29 17 36 29 29 36 35 18 17 32 33 17 15 10 35 30 31 33 29 0 31 26 3 11 0 30 11 8 26 22 27 12 25 25 10 8 32 29 11 7 34 28 8 26 29 12 0 10 38 25 20 8 9 27 28 12 14 29 25 9 30 11 25 7 39 31 10 7 10 10 20 8 10 27 27 11 20 23 33 32 39 8 10 20 31 32 8 29 31 30 12 25 26 39 9 30 12 27 31 32 1 39 33 25 9 30 41 26 23 27 27 11 21 31 14 12 19 18 11 18 39 35 41 41 25 34 9 29 36 9 10 34 10 9 42 35 36 36 11 19 30 7 28 30 18 10 35 11 34 8 35 10 39 12 9 26 35 27 12 2 29 9 19 28 12 27 9 11 10 25 5 35 19 19 12 7 9 27 21 39 22 36 35 35 39 35 18 9 29 9 4 19 17 8 35 25 11 42 8 15 34 26 35 36 9 34 27 9 34 39 8 11 18 11 32 37 12"
2,3,-0.8571,0.8571,0.0000,-0.1749,0.2727,"7 28 11 25 25 31 36 20 19 18 19 39 30 19 19 20 27 12 11 9 2 27 16 19 26 20 25 18 34 12 9 20 18 27 25 10 20 25 9 20 34 18 25 19 30 29 17 33 25 11 18 19 12 25 7 18 20 17 10 8 10 17 39 2 21 26 26 20 7 27 39 25 17 27 39 20 18 36 19 17 9 18 28 42 28 20 20 31 20 18 10 18 25 10 17 29 34 19 20 17 34 21 25 22 29 30 0 20 39 25 12 29 22 0 9 12 27 36 28 30 33 28 2 12 36 25 30 35 21 30 27 39 12 26 36 26 25 42 1 29 9 26 37 25 9 26 25 25 36 36 28 39 28 26 30 29 12 27 17 21 36 26 28 30 0 19 17 28 30 17 12 0 35 26 25 30 12 39 35 22 27 0 25 25 21 33 27 9 21 12 12 34 36 30 21 28 39 22 30 24 21 21 34 28 29 31 26 12 28 19 39 30 20 34 32 28 28 22 30 17 33 20 31 28 32 19 19 39 18 25 20 30 28 39 7 35 19 22 31 7 19 8 33 27 29 39 19 27 26 26 28 12 20 25 39 1 20 25 30 17 29 7 20 19 26 18 30 25 29 27 19 19 20 29 28 29 30 39 32 30 12 34 12 27 17 37 17 39 28 28 0 22 6 27 26 17 1 33 19 31 12 35 8 19 34 7 7 18 7 17 27 30 7 12 20 31 10 17 26 25 12 8 8 7 39 27 31 18 29 17 7 39 19 32 30 19 18 26 29 7 32 19 33 8 28 31 32 26 20 7 17 27 39 28 25 12 30 31 19 36 36 25 29 29 38 32 32 8 27 22 21 29 32 33 19 8 16 28 19 38 7 17 28 26 8 2 8 22 32 8 8 34 27 17 10 32 28 28 7 39 20 28 27 17 9 7 18 28 26 12 26 2 27 19 27 9 18 39 22 27 17 18 28 25 12 7 18 17 39 8 39 25 11 10 17 18 10 18 21 22 22 10 7 22 21 10 24 7 21 17 22 27 11 17 27 28 22 28 21 12 18 26 12 11 17 10 19 18 17 11 17 26 27 9 10 0 30 39 11 26 27 27 9 12 26 27 3 29 41 15 22 12 37 27 7 30 28 39 17 22"
3,3,-0.8571,0.8571,0.0000,-0.1889,0.2421,"7 28 11 25 25 31 36 20 19 18 19 39 30 19 19 20 27 12 11 9 2 27 16 19 26 20 25 18 34 12 9 20 18 27 25 10 20 25 9 20 34 18 25 19 30 29 17 33 25 11 18 19 12 25 7 18 20 17 10 8 10 17 39 2 21 26 26 20 7 27 39 25 17 27 39 20 18 36 19 17 9 18 28 42 28 20 20 31 20 18 10 18 25 10 17 29 34 19 20 17 34 21 25 22 29 30 0 20 39 25 12 29 22 0 9 12 27 36 28 30 33 28 2 12 36 25 30 35 21 30 27 39 12 26 36 26 25 42 1 29 9 26 37 25 9 26 25 25 36 36 28 39 28 26 30 29 12 27 17 21 36 26 28 30 0 19 17 28 30 17 12 0 35 26 25 30 12 39 35 22 27 0 25 25 21 33 27 9 21 12 12 34 36 30 21 28 39 22 30 24 21 21 34 28 29 31 26 12 28 19 39 30 20 34 32 28 28 22 30 17 33 20 31 28 32 19 19 39 18 25 20 30 28 39 7 35 19 22 31 7 19 8 33 27 29 39 19 27 26 26 28 12 20 25 39 1 20 25 30 17 29 7 20 19 26 18 30 25 29 27 19 19 20 29 28 29 30 39 32 30 12 34 12 27 17 37 17 39 28 28 0 22 6 27 26 17 1 33 19 31 12 35 8 19 34 7 7 18 7 17 27 30 7 12 20 31 10 17 26 25 12 8 8 7 39 27 31 18 29 17 7 39 19 32 30 19 18 26 29 7 32 19 33 8 28 31 32 26 20 7 17 27 39 28 25 12 30 31 19 36 36 25 29 29 38 32 32 8 27 22 21 29 32 33 19 8 16 28 19 38 7 17 28 26 8 2 8 22 32 8 8 34 27 17 10 32 28 28 7 39 20 28 27 17 9 7 18 28 26 12 26 2 27 19 27 9 18 39 22 27 17 18 28 25 12 7 18 17 39 8 39 25 11 10 17 18 10 18 21 22 22 10 7 22 21 10 24 7 21 17 22 27 11 17 27 28 22 28 21 12 18 26 12 11 17 10 19 18 17 11 17 26 27 9 10 0 30 39 11 26 27 27 9 12 26 27 3 29 41 15 22 12 37 27 7 30 28 39 17 22"
4,3,-0.8571,0.8571,0.0000,-0.1827,0.2515,"7 28 11 25 25 31 36 20 19 18 19 39 30 19 19 20 27 12 11 9 2 27 16 19 26 20 25 18 34 12 9 20 18 27 25 10 20 25 9 20 34 18 25 19 30 29 17 33 25 11 18 19 12 25 7 18 20 17 10 8 10 17 39 2 21 26 26 20 7 27 39 25 17 27 39 20 18 36 19 17 9 18 28 42 28 20 20 31 20 18 10 18 25 10 17 29 34 19 20 17 34 21 25 22 29 30 0 20 39 25 12 29 22 0 9 12 27 36 28 30 33 28 2 12 36 25 30 35 21 30 27 39 12 26 36 26 25 42 1 29 9 26 37 25 9 26 25 25 36 36 28 39 28 26 30 29 12 27 17 21 36 26 28 30 0 19 17 28 30 17 12 0 35 26 25 30 12 39 35 22 27 0 25 25 21 33 27 9 21 12 12 34 36 30 21 28 39 22 30 24 21 21 34 28 29 31 26 12 28 19 39 30 20 34 32 28 28 22 30 17 33 20 31 28 32 19 19 39 18 25 20 30 28 39 7 35 19 22 31 7 19 8 33 27 29 39 19 27 26 26 28 12 20 25 39 1 20 25 30 17 29 7 20 19 26 18 30 25 29 27 19 19 20 29 28 29 30 39 32 30 12 34 12 27 17 37 17 39 28 28 0 22 6 27 26 17 1 33 19 31 12 35 8 19 34 7 7 18 7 17 27 30 7 12 20 31 10 17 26 25 12 8 8 7 39 27 31 18 29 17 7 39 19 32 30 19 18 26 29 7 32 19 33 8 28 31 32 26 20 7 17 27 39 28 25 12 30 31 19 36 36 25 29 29 38 32 32 8 27 22 21 29 32 33 19 8 16 28 19 38 7 17 28 26 8 2 8 22 32 8 8 34 27 17 10 32 28 28 7 39 20 28 27 17 9 7 18 28 26 12 26 2 27 19 27 9 18 39 22 27 17 18 28 25 12 7 18 17 39 8 39 25 11 10 17 18 10 18 21 22 22 10 7 22 21 10 24 7 21 17 22 27 11 17 27 28 22 28 21 12 18 26 12 11 17 10 19 18 17 11 17 26 27 9 10 0 30 39 11 26 27 27 9 12 26 27 3 29 41 15 22 12 37 27 7 30 28 39 17 22"
5,3,-0.8571,0.8571,0.0000,-0.1940,0.2484,"7 28 11 25 25 31 36 20 19 18 19 39 30 19 19 20 27 12 11 9 2 27 16 19 26 20 25 18 34 12 9 20 18 27 25 10 20 25 9 20 34 18 25 19 30 29 17 33 25 11 18 19 12 25 7 18 20 17 10 8 10 17 39 2 21 26 26 20 7 27 39 25 17 27 39 20 18 36 19 17 9 18 28 42 28 20 20 31 20 18 10 18 25 10 17 29 34 19 20 17 34 21 25 22 29 30 0 20 39 25 12 29 22 0 9 12 27 36 28 30 33 28 2 12 36 25 30 35 21 30 27 39 12 26 36 26 25 42 1 29 9 26 37 25 9 26 25 25 36 36 28 39 28 26 30 29 12 27 17 21 36 26 28 30 0 19 17 28 30 17 12 0 35 26 25 30 12 39 35 22 27 0 25 25 21 33 27 9 21 12 12 34 36 30 21 28 39 22 30 24 21 21 34 28 29 31 26 12 28 19 39 30 20 34 32 28 28 22 30 17 33 20 31 28 32 19 19 39 18 25 20 30 28 39 7 35 19 22 31 7 19 8 33 27 29 39 19 27 26 26 28 12 20 25 39 1 20 25 30 17 29 7 20 19 26 18 30 25 29 27 19 19 20 29 28 29 30 39 32 30 12 34 12 27 17 37 17 39 28 28 0 22 6 27 26 17 1 33 19 31 12 35 8 19 34 7 7 18 7 17 27 30 7 12 20 31 10 17 26 25 12 8 8 7 39 27 31 18 29 17 7 39 19 32 30 19 18 26 29 7 32 19 33 8 28 31 32 26 20 7 17 27 39 28 25 12 30 31 19 36 36 25 29 29 38 32 32 8 27 22 21 29 32 33 19 8 16 28 19 38 7 17 28 26 8 2 8 22 32 8 8 34 27 17 10 32 28 28 7 39 20 28 27 17 9 7 18 28 26 12 26 2 27 19 27 9 18 39 22 27 17 18 28 25 12 7 18 17 39 8 39 25 11 10 17 18 10 18 21 22 22 10 7 22 21 10 24 7 21 17 22 27 11 17 27 28 22 28 21 12 18 26 12 11 17 10 19 18 17 11 17 26 27 9 10 0 30 39 11 26 27 27 9 12 26 27 3 29 41 15 22 12 37 27 7 30 28 39 17 22"
6,3,-0.8571,0.8571,0.0000,-0.1980,0.2622,"7 28 11 25 25 31 36 20 19 18 19 39 30 19 19 20 27 12 11 9 2 27 16 19 26 20 25 18 34 12 9 20 18 27 25 10 20 25 9 20 34 18 25 19 30 29 17 33 25 11 18 19 12 25 7 18 20 17 10 8 10 17 39 2 21 26 26 20 7 27 39 25 17 27 39 20 18 36 19 17 9 18 28 42 28 20 20 31 20 18 10 18 25 10 17 29 34 19 20 17 34 21 25 22 29 30 0 20 39 25 12 29 22 0 9 12 27 36 28 30 33 28 2 12 36 25 30 35 21 30 27 39 12 26 36 26 25 42 1 29 9 26 37 25 9 26 25 25 36 36 28 39 28 26 30 29 12 27 17 21 36 26 28 30 0 19 17 28 30 17 12 0 35 26 25 30 12 39 35 22 27 0 25 25 21 33 27 9 21 12 12 34 36 30 21 28 39 22 30 24 21 21 34 28 29 31 26 12 28 19 39 30 20 34 32 28 28 22 30 17 33 20 31 28 32 19 19 39 18 25 20 30 28 39 7 35 19 22 31 7 19 8 33 27 29 39 19 27 26 26 28 12 20 25 39 1 20 25 30 17 29 7 20 19 26 18 30 25 29 27 19 19 20 29 28 29 30 39 32 30 12 34 12 27 17 37 17 39 28 28 0 22 6 27 26 17 1 33 19 31 12 35 8 19 34 7 7 18 7 17 27 30 7 12 20 31 10 17 26 25 12 8 8 7 39 27 31 18 29 17 7 39 19 32 30 19 18 26 29 7 32 19 33 8 28 31 32 26 20 7 17 27 39 28 25 12 30 31 19 36 36 25 29 29 38 32 32 8 27 22 21 29 32 33 19 8 16 28 19 38 7 17 28 26 8 2 8 22 32 8 8 34 27 17 10 32 28 28 7 39 20 28 27 17 9 7 18 28 26 12 26 2 27 19 27 9 18 39 22 27 17 18 28 25 12 7 18 17 39 8 39 25 11 10 17 18 10 18 21 22 22 10 7 22 21 10 24 7 21 17 22 27 11 17 27 28 22 28 21 12 18 26 12 11 17 10 19 18 17 11 17 26 27 9 10 0 30 39 11 26 27 27 9 12 26 27 3 29 41 15 22 12 37 27 7 30 28 39 17 22"
7,3,-0.8571,0.8571,0.0000,-0.1892,0.1980,"7 28 11 25 25 31 36 20 19 18 19 39 30 19 19 20 27 12 11 9 2 27 16 19 26 20 25 18 34 12 9 20 18 27 25 10 20 25 9 20 34 18 25 19 30 29 17 33 25 11 18 19 12 25 7 18 20 17 10 8 10 17 39 2 21 26 26 20 7 27 39 25 17 27 39 20 18 36 19 17 9 18 28 42 28 20 20 31 20 18 10 18 25 10 17 29 34 19 20 17 34 21 25 22 29 30 0 20 39 25 12 29 22 0 9 12 27 36 28 30 33 28 2 12 36 25 30 35 21 30 27 39 12 26 36 26 25 42 1 29 9 26 37 25 9 26 25 25 36 36 28 39 28 26 30 29 12 27 17 21 36 26 28 30 0 19 17 28 30 17 12 0 35 26 25 30 12 39 35 22 27 0 25 25 21 33 27 9 21 12 12 34 36 30 21 28 39 22 30 24 21 21 34 28 29 31 26 12 28 19 39 30 20 34 32 28 28 22 30 17 33 20 31 28 32 19 19 39 18 25 20 30 28 39 7 35 19 22 31 7 19 8 33 27 29 39 19 27 26 26 28 12 20 25 39 1 20 25 30 17 29 7 20 19 26 18 30 25 29 27 19 19 20 29 28 29 30 39 32 30 12 34 12 27 17 37 17 39 28 28 0 22 6 27 26 17 1 33 19 31 12 35 8 19 34 7 7 18 7 17 27 30 7 12 20 31 10 17 26 25 12 8 8 7 39 27 31 18 29 17 7 39 19 32 30 19 18 26 29 7 32 19 33 8 28 31 32 26 20 7 17 27 39 28 25 12 30 31 19 36 36 25 29 29 38 32 32 8 27 22 21 29 32 33 19 8 16 28 19 38 7 17 28 26 8 2 8 22 32 8 8 34 27 17 10 32 28 28 7 39 20 28 27 17 9 7 18 28 26 12 26 2 27 19 27 9 18 39 22 27 17 18 28 25 12 7 18 17 39 8 39 25 11 10 17 18 10 18 21 22 22 10 7 22 21 10 24 7 21 17 22 27 11 17 27 28 22 28 21 12 18 26 12 11 17 10 19 18 17 11 17 26 27 9 10 0 30 39 11 26 27 27 9 12 26 27 3 29 41 15 22 12 37 27 7 30 28 39 17 22"
8,3,-0.8571,0.8571,0.0000,-0.1914,0.2069,"7 28 11 25 25 31 36 20 19 18 19 39 30 19 19 20 27 12 11 9 2 27 16 19 26 20 25 18 34 12 9 20 18 27 25 10 20 25 9 20 34 18 25 19 30 29 17 33 25 11 18 19 12 25 7 18 20 17 10 8 10 17 39 2 21 26 26 20 7 27 39 25 17 27 39 20 18 36 19 17 9 18 28 42 28 20 20 31 20 18 10 18 25 10 17 29 34 19 20 17 34 21 25 22 29 30 0 20 39 25 12 29 22 0 9 12 27 36 28 30 33 28 2 12 36 25 30 35 21 30 27 39 12 26 36 26 25 42 1 29 9 26 37 25 9 26 25 25 36 36 28 39 28 26 30 29 12 27 17 21 36 26 28 30 0 19 17 28 30 17 12 0 35 26 25 30 12 39 35 22 27 0 25 25 21 33 27 9 21 12 12 34 36 30 21 28 39 22 30 24 21 21 34 28 29 31 26 12 28 19 39 30 20 34 32 28 28 22 30 17 33 20 31 28 32 19 19 39 18 25 20 30 28 39 7 35 19 22 31 7 19 8 33 27 29 39 19 27 26 26 28 12 20 25 39 1 20 25 30 17 29 7 20 19 26 18 30 25 29 27 19 19 20 29 28 29 30 39 32 30 12 34 12 27 17 37 17 39 28 28 0 22 6 27 26 17 1 33 19 31 12 35 8 19 34 7 7 18 7 17 27 30 7 12 20 31 10 17 26 25 12 8 8 7 39 27 31 18 29 17 7 39 19 32 30 19 18 26 29 7 32 19 33 8 28 31 32 26 20 7 17 27 39 28 25 12 30 31 19 36 36 25 29 29 38 32 32 8 27 22 21 29 32 33 19 8 16 28 19 38 7 17 28 26 8 2 8 22 32 8 8 34 27 17 10 32 28 28 7 39 20 28 27 17 9 7 18 28 26 12 26 2 27 19 27 9 18 39 22 27 17 18 28 25 12 7 18 17 39 8 39 25 11 10 17 18 10 18 21 22 22 10 7 22 21 10 24 7 21 17 22 27 11 17 27 28 22 28 21 12 18 26 12 11 17 10 19 18 17 11 17 26 27 9 10 0 30 39 11 26 27 27 9 12 26 27 3 29 41 15 22 12 37 27 7 30 28 39 17 22"
9,3,-0.8571,0.8571,0.0000,-0.1988,0.2005,"7 28 11 25 25 31 36 20 19 18 19 39 30 19 19 20 27 12 11 9 2 27 16 19 26 20 25 18 34 12 9 20 18 27 25 10 20 25 9 20 34 18 25 19 30 29 17 33 25 11 18 19 12 25 7 18 20 17 10 8 10 17 39 2 21 26 26 20 7 27 39 25 17 27 39 20 18 36 19 17 9 18 28 42 28 20 20 31 20 18 10 18 25 10 17 29 34 19 20 17 34 21 25 22 29 30 0 20 39 25 12 29 22 0 9 12 27 36 28 30 33 28 2 12 36 25 30 35 21 30 27 39 12 26 36 26 25 42 1 29 9 26 37 25 9 26 25 25 36 36 28 39 28 26 30 29 12 27 17 21 36 26 28 30 0 19 17 28 30 17 12 0 35 26 25 30 12 39 35 22 27 0 25 25 21 33 27 9 21 12 12 34 36 30 21 28 39 22 30 24 21 21 34 28 29 31 26 12 28 19 39 30 20 34 32 28 28 22 30 17 33 20 31 28 32 19 19 39 18 25 20 30 28 39 7 35 19 22 31 7 19 8 33 27 29 39 19 27 26 26 28 12 20 25 39 1 20 25 30 17 29 7 20 19 26 18 30 25 29 27 19 19 20 29 28 29 30 39 32 30 12 34 12 27 17 37 17 39 28 28 0 22 6 27 26 17 1 33 19 31 12 35 8 19 34 7 7 18 7 17 27 30 7 12 20 31 10 17 26 25 12 8 8 7 39 27 31 18 29 17 7 39 19 32 30 19 18 26 29 7 32 19 33 8 28 31 32 26 20 7 17 27 39 28 25 12 30 31 19 36 36 25 29 29 38 32 32 8 27 22 21 29 32 33 19 8 16 28 19 38 7 17 28 26 8 2 8 22 32 8 8 34 27 17 10 32 28 28 7 39 20 28 27 17 9 7 18 28 26 12 26 2 27 19 27 9 18 39 22 27 17 18 28 25 12 7 18 17 39 8 39 25 11 10 17 18 10 18 21 22 22 10 7 22 21 10 24 7 21 17 22 27 11 17 27 28 22 28 21 12 18 26 12 11 17 10 19 18 17 11 17 26 27 9 10 0 30 39 11 26 27 27 9 12 26 27 3 29 41 15 22 12 37 27 7 30 28 39 17 22"
