# seed=25
# instance=EXPONENTIAL
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.5)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=3
# lambda_similarity=0.61
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.3100,0.8750,0.9262,0.1537,0.5696,"39 12 12 32 19 11 26 9 15 4 6 2 16 38 41 1 11 30 29 15 32 17 14 13 35 41 42 38 26 39 16 33 21 6 26 24 38 17 30 36 24 32 24 29 17 38 32 24 37 30 6 41 28 16 28 42 20 12 29 2 12 25 34 22 40 23 20 37 18 9 6 1 39 3 6 30 39 9 40 3 28 4 16 28 35 5 25 13 3 6 15 8 2 15 2 16 35 19 17 16 21 15 16 29 40 9 41 18 21 27 37 22 24 0 9 0 22 15 23 41 5 39 35 29 15 15 27 11 26 27 2 22 21 17 24 33 27 0 12 2 26 27 22 42 42 27 18 13 8 23 7 8 19 30 26 19 38 3 16 29 24 36 8 5 3 41 35 27 28 34 11 13 21 24 25 24 33 40 32 42 32 0 42 39 22 42 20 6 33 0 15 5 42 18 9 20 2 31 34 11 15 29 24 27 41 35 31 15 17 39 11 35 28 17 6 37 6 26 9 37 16 9 11 10 10 5 5 7 41 12 39 22 8 9 30 23 40 12 23 34 4 19 13 1 25 37 2 4 29 30 16 0 20 5 29 29 30 28 20 42 26 2 41 26 33 33 16 36 33 25 6 30 5 24 41 21 35 30 30 38 36 20 11 21 11 14 28 39 30 2 23 1 23 26 32 25 18 31 33 25 2 7 41 1 35 5 42 19 8 35 10 1 27 20 24 13 38 30 2 20 2 11 34 35 26 14 6 21 27 4 26 9 28 23 26 10 32 21 36 41 39 24 24 4 14 14 17 39 27 31 22 12 30 34 4 33 40 40 35 31 38 4 16 39 4 15 31 23 18 23 16 35 20 18 11 6 38 34 21 0 10 14 5 2 19 28 27 24 5 20 11 40 39 23 34 5 20 39 22 38 8 30 38 29 13 17 40 8 33 41 25 27 24 35 9 0 15 24 12 32 27 40 8 26 23 31 10 9 16 5 4 27 21 3 9 13 5 24 1 33 23 31 4 20 19 21 31 8 33 24 27 11 28 6 31 39 40 7 22 4 32 13 26 3 18 7 31 34 10 34 42 11 6 13 22 8 20 12 6 14 29 27 19 42 0 14 6 18 22 15 36 23 15 26 11 31 20 4 3 9"
1,2,-0.5609,0.9200,0.5887,-0.1096,0.3208,"2 2 2 38 38 38 38 2 2 41 41 2 2 6 41 2 2 2 1 2 2 3 6 13 41 2 2 41 37 2 13 2 2 2 37 2 13 41 13 2 2 2 2 41 3 41 41 13 2 2 41 41 2 2 1 2 41 2 2 0 2 2 38 37 3 2 2 13 41 2 3 5 1 2 2 2 2 41 2 13 2 41 18 3 2 0 38 2 2 6 2 2 2 2 0 2 1 38 0 41 12 12 12 12 12 12 12 12 12 30 30 12 33 12 12 12 12 12 21 12 12 12 31 12 12 31 12 12 31 29 12 12 31 31 32 12 12 12 12 31 28 12 12 28 12 12 12 12 31 11 12 12 21 12 12 31 31 12 12 12 12 12 12 9 12 12 12 12 29 31 12 12 12 28 12 12 31 12 12 12 12 12 12 29 29 12 30 12 12 12 12 12 12 12 12 29 31 29 31 12 2 2 2 2 41 2 2 2 8 2 2 2 2 2 2 2 2 4 2 2 2 2 2 4 2 37 2 7 2 2 2 2 2 2 2 2 2 8 10 2 2 2 2 2 2 2 5 2 39 8 2 2 7 2 27 11 2 2 2 2 8 7 2 38 7 2 2 2 2 2 2 2 2 2 2 2 8 2 7 2 2 2 2 2 40 2 2 2 2 36 2 2 2 7 2 39 7 2 2 2 2 41 41 1 2 2 13 2 2 38 0 2 5 41 2 2 2 2 17 41 0 2 41 2 3 2 2 2 2 2 41 2 38 2 2 2 2 2 5 41 2 0 2 2 4 1 19 2 2 13 2 2 2 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 37 2 2 2 2 2 2 2 2 2 2 41 6 2 41 4 2 2 2 4 1 2 2 2 2 2 37 2 41 2 12 34 12 12 12 12 12 35 12 12 34 12 34 12 12 12 19 34 12 12 12 12 12 12 34 12 34 12 12 12 12 34 12 12 34 12 12 12 12 12 12 12 34 12 12 12 12 12 12 37 35 12 12 34 34 2 12 40 34 34 2 34 12 34 12 12 12 12 34 12 12 35 12 19 12 19 19 12 34 34 20 12 34 20 12 19 12 34 34 12 12 12 12 12 34 34 12 20 34 2"
2,3,-0.5611,0.8800,0.5229,-0.1581,0.1863,"2 2 2 2 6 2 2 2 2 2 2 3 31 31 2 12 21 32 12 2 2 31 21 21 2 2 2 40 2 2 2 2 2 2 2 21 12 2 6 2 2 2 2 2 2 2 2 38 2 5 42 12 12 2 38 2 5 4 2 12 2 2 2 2 2 37 2 12 12 2 2 2 2 2 2 2 2 2 2 12 2 2 2 2 37 12 12 5 2 2 2 2 3 31 2 2 12 5 4 12 34 17 34 41 17 34 41 34 34 34 34 34 34 34 34 34 35 41 34 34 41 34 34 34 41 41 35 34 34 41 34 34 34 35 17 34 41 34 34 36 34 34 34 34 34 41 34 34 36 34 1 41 38 17 34 34 41 41 34 34 34 34 17 34 34 34 34 36 34 36 41 1 34 34 34 34 34 34 34 34 34 34 34 41 34 34 34 35 34 34 34 35 34 34 36 41 41 34 34 34 37 2 5 2 2 2 2 2 37 2 2 2 2 2 5 2 31 2 2 2 2 31 2 2 2 2 2 2 2 2 2 12 2 2 2 2 2 2 2 2 6 4 6 2 2 4 2 2 2 2 2 31 2 2 2 2 2 2 32 2 2 2 2 31 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 37 2 5 2 2 2 2 6 31 2 2 2 2 6 2 2 31 2 2 2 0 33 31 31 31 34 32 31 31 0 41 32 31 31 31 31 31 31 3 0 41 31 31 31 13 31 31 33 31 31 34 31 0 0 33 41 31 31 31 3 31 31 31 31 0 31 0 31 31 34 31 31 31 31 31 3 32 31 0 31 31 31 31 31 31 31 31 31 31 0 34 31 31 31 3 31 3 3 31 32 31 0 31 33 31 31 31 34 31 31 31 31 31 41 31 31 31 31 31 3 35 41 41 41 41 41 41 41 41 41 13 41 41 41 41 2 28 2 28 28 41 41 41 28 41 41 41 41 41 12 28 28 2 41 41 41 41 28 41 41 41 3 28 41 12 28 28 30 3 41 41 2 2 41 41 3 13 28 41 28 41 28 41 41 29 38 30 41 41 28 3 0 28 38 13 28 41 41 13 41 38 28 28 28 41 41 41 41 41 41 28 41 28 41 13 41 0 28 28 41"
3,4,-0.6043,0.9630,0.5880,-0.1492,0.2473,"2 13 10 11 2 2 40 38 9 40 2 2 10 42 2 2 40 40 2 2 2 2 40 40 2 40 40 2 2 2 12 2 2 2 40 10 2 40 2 40 2 7 2 2 2 2 2 10 40 2 40 2 2 40 2 2 2 40 2 2 2 2 40 2 2 2 2 40 2 2 2 40 12 2 40 40 2 2 40 40 2 40 40 2 2 40 10 2 2 2 40 2 2 10 2 2 40 2 21 2 9 25 25 0 3 27 25 3 0 25 0 25 0 0 0 0 9 12 0 0 12 0 3 3 25 0 19 0 25 26 0 25 3 3 12 3 25 25 0 41 0 3 25 25 0 25 3 0 25 26 37 12 0 25 3 3 25 0 0 0 0 25 25 0 25 0 0 3 3 25 26 3 3 25 3 0 0 3 12 25 3 25 25 0 0 0 3 25 12 12 25 25 3 3 3 0 25 25 3 3 12 12 12 34 35 12 12 12 12 12 12 12 12 12 18 34 12 12 12 12 12 34 12 34 12 12 12 12 32 12 12 12 12 17 12 12 12 12 12 12 35 12 12 35 34 34 12 12 12 12 34 12 34 12 12 12 12 12 12 12 34 12 12 12 34 12 12 17 12 34 12 12 35 34 12 12 12 12 34 35 12 34 12 34 12 12 12 12 12 12 34 34 12 12 12 12 12 12 12 12 28 21 21 28 30 28 21 28 28 21 9 21 21 21 21 21 12 21 21 21 21 21 28 21 21 21 21 21 21 22 9 22 21 28 22 12 21 21 21 21 21 21 14 0 21 21 21 28 21 21 21 21 28 21 21 21 21 21 21 28 21 21 12 21 28 28 28 21 28 28 21 21 21 21 28 21 12 21 21 28 21 21 21 28 21 21 21 21 21 15 21 22 21 21 21 21 21 21 28 21 31 31 42 2 31 12 42 42 12 42 42 42 42 42 42 32 42 42 42 6 42 42 42 42 42 42 42 42 42 42 42 31 19 42 42 42 42 25 42 42 42 42 42 31 31 37 42 42 42 2 42 31 31 42 7 37 42 42 42 42 31 42 42 42 42 42 42 12 42 42 12 6 12 42 42 42 5 42 31 42 42 2 12 42 31 42 37 42 42 42 42 5 42 42 31 42 42 33 31 12"
4,4,-0.6043,0.9630,0.5880,-0.1407,0.2799,"2 13 10 11 2 2 40 38 9 40 2 2 10 42 2 2 40 40 2 2 2 2 40 40 2 40 40 2 2 2 12 2 2 2 40 10 2 40 2 40 2 7 2 2 2 2 2 10 40 2 40 2 2 40 2 2 2 40 2 2 2 2 40 2 2 2 2 40 2 2 2 40 12 2 40 40 2 2 40 40 2 40 40 2 2 40 10 2 2 2 40 2 2 10 2 2 40 2 21 2 9 25 25 0 3 27 25 3 0 25 0 25 0 0 0 0 9 12 0 0 12 0 3 3 25 0 19 0 25 26 0 25 3 3 12 3 25 25 0 41 0 3 25 25 0 25 3 0 25 26 37 12 0 25 3 3 25 0 0 0 0 25 25 0 25 0 0 3 3 25 26 3 3 25 3 0 0 3 12 25 3 25 25 0 0 0 3 25 12 12 25 25 3 3 3 0 25 25 3 3 12 12 12 34 35 12 12 12 12 12 12 12 12 12 18 34 12 12 12 12 12 34 12 34 12 12 12 12 32 12 12 12 12 17 12 12 12 12 12 12 35 12 12 35 34 34 12 12 12 12 34 12 34 12 12 12 12 12 12 12 34 12 12 12 34 12 12 17 12 34 12 12 35 34 12 12 12 12 34 35 12 34 12 34 12 12 12 12 12 12 34 34 12 12 12 12 12 12 12 12 28 21 21 28 30 28 21 28 28 21 9 21 21 21 21 21 12 21 21 21 21 21 28 21 21 21 21 21 21 22 9 22 21 28 22 12 21 21 21 21 21 21 14 0 21 21 21 28 21 21 21 21 28 21 21 21 21 21 21 28 21 21 12 21 28 28 28 21 28 28 21 21 21 21 28 21 12 21 21 28 21 21 21 28 21 21 21 21 21 15 21 22 21 21 21 21 21 21 28 21 31 31 42 2 31 12 42 42 12 42 42 42 42 42 42 32 42 42 42 6 42 42 42 42 42 42 42 42 42 42 42 31 19 42 42 42 42 25 42 42 42 42 42 31 31 37 42 42 42 2 42 31 31 42 7 37 42 42 42 42 31 42 42 42 42 42 42 12 42 42 12 6 12 42 42 42 5 42 31 42 42 2 12 42 31 42 37 42 42 42 42 5 42 42 31 42 42 33 31 12"
5,4,-0.6043,0.9630,0.5880,-0.1101,0.3315,"2 13 10 11 2 2 40 38 9 40 2 2 10 42 2 2 40 40 2 2 2 2 40 40 2 40 40 2 2 2 12 2 2 2 40 10 2 40 2 40 2 7 2 2 2 2 2 10 40 2 40 2 2 40 2 2 2 40 2 2 2 2 40 2 2 2 2 40 2 2 2 40 12 2 40 40 2 2 40 40 2 40 40 2 2 40 10 2 2 2 40 2 2 10 2 2 40 2 21 2 9 25 25 0 3 27 25 3 0 25 0 25 0 0 0 0 9 12 0 0 12 0 3 3 25 0 19 0 25 26 0 25 3 3 12 3 25 25 0 41 0 3 25 25 0 25 3 0 25 26 37 12 0 25 3 3 25 0 0 0 0 25 25 0 25 0 0 3 3 25 26 3 3 25 3 0 0 3 12 25 3 25 25 0 0 0 3 25 12 12 25 25 3 3 3 0 25 25 3 3 12 12 12 34 35 12 12 12 12 12 12 12 12 12 18 34 12 12 12 12 12 34 12 34 12 12 12 12 32 12 12 12 12 17 12 12 12 12 12 12 35 12 12 35 34 34 12 12 12 12 34 12 34 12 12 12 12 12 12 12 34 12 12 12 34 12 12 17 12 34 12 12 35 34 12 12 12 12 34 35 12 34 12 34 12 12 12 12 12 12 34 34 12 12 12 12 12 12 12 12 28 21 21 28 30 28 21 28 28 21 9 21 21 21 21 21 12 21 21 21 21 21 28 21 21 21 21 21 21 22 9 22 21 28 22 12 21 21 21 21 21 21 14 0 21 21 21 28 21 21 21 21 28 21 21 21 21 21 21 28 21 21 12 21 28 28 28 21 28 28 21 21 21 21 28 21 12 21 21 28 21 21 21 28 21 21 21 21 21 15 21 22 21 21 21 21 21 21 28 21 31 31 42 2 31 12 42 42 12 42 42 42 42 42 42 32 42 42 42 6 42 42 42 42 42 42 42 42 42 42 42 31 19 42 42 42 42 25 42 42 42 42 42 31 31 37 42 42 42 2 42 31 31 42 7 37 42 42 42 42 31 42 42 42 42 42 42 12 42 42 12 6 12 42 42 42 5 42 31 42 42 2 12 42 31 42 37 42 42 42 42 5 42 42 31 42 42 33 31 12"
6,4,-0.6043,0.9630,0.5880,-0.1557,0.2484,"2 13 10 11 2 2 40 38 9 40 2 2 10 42 2 2 40 40 2 2 2 2 40 40 2 40 40 2 2 2 12 2 2 2 40 10 2 40 2 40 2 7 2 2 2 2 2 10 40 2 40 2 2 40 2 2 2 40 2 2 2 2 40 2 2 2 2 40 2 2 2 40 12 2 40 40 2 2 40 40 2 40 40 2 2 40 10 2 2 2 40 2 2 10 2 2 40 2 21 2 9 25 25 0 3 27 25 3 0 25 0 25 0 0 0 0 9 12 0 0 12 0 3 3 25 0 19 0 25 26 0 25 3 3 12 3 25 25 0 41 0 3 25 25 0 25 3 0 25 26 37 12 0 25 3 3 25 0 0 0 0 25 25 0 25 0 0 3 3 25 26 3 3 25 3 0 0 3 12 25 3 25 25 0 0 0 3 25 12 12 25 25 3 3 3 0 25 25 3 3 12 12 12 34 35 12 12 12 12 12 12 12 12 12 18 34 12 12 12 12 12 34 12 34 12 12 12 12 32 12 12 12 12 17 12 12 12 12 12 12 35 12 12 35 34 34 12 12 12 12 34 12 34 12 12 12 12 12 12 12 34 12 12 12 34 12 12 17 12 34 12 12 35 34 12 12 12 12 34 35 12 34 12 34 12 12 12 12 12 12 34 34 12 12 12 12 12 12 12 12 28 21 21 28 30 28 21 28 28 21 9 21 21 21 21 21 12 21 21 21 21 21 28 21 21 21 21 21 21 22 9 22 21 28 22 12 21 21 21 21 21 21 14 0 21 21 21 28 21 21 21 21 28 21 21 21 21 21 21 28 21 21 12 21 28 28 28 21 28 28 21 21 21 21 28 21 12 21 21 28 21 21 21 28 21 21 21 21 21 15 21 22 21 21 21 21 21 21 28 21 31 31 42 2 31 12 42 42 12 42 42 42 42 42 42 32 42 42 42 6 42 42 42 42 42 42 42 42 42 42 42 31 19 42 42 42 42 25 42 42 42 42 42 31 31 37 42 42 42 2 42 31 31 42 7 37 42 42 42 42 31 42 42 42 42 42 42 12 42 42 12 6 12 42 42 42 5 42 31 42 42 2 12 42 31 42 37 42 42 42 42 5 42 42 31 42 42 33 31 12"
7,4,-0.6043,0.9630,0.5880,-0.1583,0.2860,"2 13 10 11 2 2 40 38 9 40 2 2 10 42 2 2 40 40 2 2 2 2 40 40 2 40 40 2 2 2 12 2 2 2 40 10 2 40 2 40 2 7 2 2 2 2 2 10 40 2 40 2 2 40 2 2 2 40 2 2 2 2 40 2 2 2 2 40 2 2 2 40 12 2 40 40 2 2 40 40 2 40 40 2 2 40 10 2 2 2 40 2 2 10 2 2 40 2 21 2 9 25 25 0 3 27 25 3 0 25 0 25 0 0 0 0 9 12 0 0 12 0 3 3 25 0 19 0 25 26 0 25 3 3 12 3 25 25 0 41 0 3 25 25 0 25 3 0 25 26 37 12 0 25 3 3 25 0 0 0 0 25 25 0 25 0 0 3 3 25 26 3 3 25 3 0 0 3 12 25 3 25 25 0 0 0 3 25 12 12 25 25 3 3 3 0 25 25 3 3 12 12 12 34 35 12 12 12 12 12 12 12 12 12 18 34 12 12 12 12 12 34 12 34 12 12 12 12 32 12 12 12 12 17 12 12 12 12 12 12 35 12 12 35 34 34 12 12 12 12 34 12 34 12 12 12 12 12 12 12 34 12 12 12 34 12 12 17 12 34 12 12 35 34 12 12 12 12 34 35 12 34 12 34 12 12 12 12 12 12 34 34 12 12 12 12 12 12 12 12 28 21 21 28 30 28 21 28 28 21 9 21 21 21 21 21 12 21 21 21 21 21 28 21 21 21 21 21 21 22 9 22 21 28 22 12 21 21 21 21 21 21 14 0 21 21 21 28 21 21 21 21 28 21 21 21 21 21 21 28 21 21 12 21 28 28 28 21 28 28 21 21 21 21 28 21 12 21 21 28 21 21 21 28 21 21 21 21 21 15 21 22 21 21 21 21 21 21 28 21 31 31 42 2 31 12 42 42 12 42 42 42 42 42 42 32 42 42 42 6 42 42 42 42 42 42 42 42 42 42 42 31 19 42 42 42 42 25 42 42 42 42 42 31 31 37 42 42 42 2 42 31 31 42 7 37 42 42 42 42 31 42 42 42 42 42 42 12 42 42 12 6 12 42 42 42 5 42 31 42 42 2 12 42 31 42 37 42 42 42 42 5 42 42 31 42 42 33 31 12"
8,4,-0.6043,0.9630,0.5880,-0.1117,0.3104,"2 13 10 11 2 2 40 38 9 40 2 2 10 42 2 2 40 40 2 2 2 2 40 40 2 40 40 2 2 2 12 2 2 2 40 10 2 40 2 40 2 7 2 2 2 2 2 10 40 2 40 2 2 40 2 2 2 40 2 2 2 2 40 2 2 2 2 40 2 2 2 40 12 2 40 40 2 2 40 40 2 40 40 2 2 40 10 2 2 2 40 2 2 10 2 2 40 2 21 2 9 25 25 0 3 27 25 3 0 25 0 25 0 0 0 0 9 12 0 0 12 0 3 3 25 0 19 0 25 26 0 25 3 3 12 3 25 25 0 41 0 3 25 25 0 25 3 0 25 26 37 12 0 25 3 3 25 0 0 0 0 25 25 0 25 0 0 3 3 25 26 3 3 25 3 0 0 3 12 25 3 25 25 0 0 0 3 25 12 12 25 25 3 3 3 0 25 25 3 3 12 12 12 34 35 12 12 12 12 12 12 12 12 12 18 34 12 12 12 12 12 34 12 34 12 12 12 12 32 12 12 12 12 17 12 12 12 12 12 12 35 12 12 35 34 34 12 12 12 12 34 12 34 12 12 12 12 12 12 12 34 12 12 12 34 12 12 17 12 34 12 12 35 34 12 12 12 12 34 35 12 34 12 34 12 12 12 12 12 12 34 34 12 12 12 12 12 12 12 12 28 21 21 28 30 28 21 28 28 21 9 21 21 21 21 21 12 21 21 21 21 21 28 21 21 21 21 21 21 22 9 22 21 28 22 12 21 21 21 21 21 21 14 0 21 21 21 28 21 21 21 21 28 21 21 21 21 21 21 28 21 21 12 21 28 28 28 21 28 28 21 21 21 21 28 21 12 21 21 28 21 21 21 28 21 21 21 21 21 15 21 22 21 21 21 21 21 21 28 21 31 31 42 2 31 12 42 42 12 42 42 42 42 42 42 32 42 42 42 6 42 42 42 42 42 42 42 42 42 42 42 31 19 42 42 42 42 25 42 42 42 42 42 31 31 37 42 42 42 2 42 31 31 42 7 37 42 42 42 42 31 42 42 42 42 42 42 12 42 42 12 6 12 42 42 42 5 42 31 42 42 2 12 42 31 42 37 42 42 42 42 5 42 42 31 42 42 33 31 12"
9,4,-0.6043,0.9630,0.5880,-0.1314,0.3588,"2 13 10 11 2 2 40 38 9 40 2 2 10 42 2 2 40 40 2 2 2 2 40 40 2 40 40 2 2 2 12 2 2 2 40 10 2 40 2 40 2 7 2 2 2 2 2 10 40 2 40 2 2 40 2 2 2 40 2 2 2 2 40 2 2 2 2 40 2 2 2 40 12 2 40 40 2 2 40 40 2 40 40 2 2 40 10 2 2 2 40 2 2 10 2 2 40 2 21 2 9 25 25 0 3 27 25 3 0 25 0 25 0 0 0 0 9 12 0 0 12 0 3 3 25 0 19 0 25 26 0 25 3 3 12 3 25 25 0 41 0 3 25 25 0 25 3 0 25 26 37 12 0 25 3 3 25 0 0 0 0 25 25 0 25 0 0 3 3 25 26 3 3 25 3 0 0 3 12 25 3 25 25 0 0 0 3 25 12 12 25 25 3 3 3 0 25 25 3 3 12 12 12 34 35 12 12 12 12 12 12 12 12 12 18 34 12 12 12 12 12 34 12 34 12 12 12 12 32 12 12 12 12 17 12 12 12 12 12 12 35 12 12 35 34 34 12 12 12 12 34 12 34 12 12 12 12 12 12 12 34 12 12 12 34 12 12 17 12 34 12 12 35 34 12 12 12 12 34 35 12 34 12 34 12 12 12 12 12 12 34 34 12 12 12 12 12 12 12 12 28 21 21 28 30 28 21 28 28 21 9 21 21 21 21 21 12 21 21 21 21 21 28 21 21 21 21 21 21 22 9 22 21 28 22 12 21 21 21 21 21 21 14 0 21 21 21 28 21 21 21 21 28 21 21 21 21 21 21 28 21 21 12 21 28 28 28 21 28 28 21 21 21 21 28 21 12 21 21 28 21 21 21 28 21 21 21 21 21 15 21 22 21 21 21 21 21 21 28 21 31 31 42 2 31 12 42 42 12 42 42 42 42 42 42 32 42 42 42 6 42 42 42 42 42 42 42 42 42 42 42 31 19 42 42 42 42 25 42 42 42 42 42 31 31 37 42 42 42 2 42 31 31 42 7 37 42 42 42 42 31 42 42 42 42 42 42 12 42 42 12 6 12 42 42 42 5 42 31 42 42 2 12 42 31 42 37 42 42 42 42 5 42 42 31 42 42 33 31 12"
