# seed=27
# instance=PIECEWISE
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5427,0.8214,0.9290,-0.1661,0.2348,"16 14 35 3 4 39 17 2 18 2 38 37 16 13 21 37 7 35 37 5 6 38 10 8 7 13 2 15 24 35 31 4 32 9 32 9 39 42 11 12 1 10 33 2 17 4 15 4 42 12 10 12 2 22 22 18 18 32 14 28 37 23 14 1 29 40 8 26 21 40 5 20 4 33 4 35 28 9 23 2 0 5 11 31 11 35 33 12 22 5 32 21 19 21 19 3 37 11 35 36 37 33 22 25 14 4 36 10 5 25 31 21 29 28 30 35 12 19 27 40 39 17 19 9 10 15 38 7 42 4 22 37 10 17 41 36 18 32 34 30 18 22 9 5 19 21 28 22 17 1 39 39 9 9 15 5 40 18 30 0 16 20 39 42 21 24 12 26 42 22 2 11 20 7 13 17 2 36 34 15 4 9 13 4 26 21 32 15 19 33 4 4 37 42 13 28 25 28 34 19 15 1 7 2 31 4 23 6 8 29 6 4 6 7 7 12 16 32 34 12 39 3 25 23 11 16 10 6 31 36 13 18 17 21 15 2 1 13 29 3 10 33 23 1 27 30 18 12 22 0 30 42 3 35 8 33 22 10 5 17 40 20 13 0 29 21 26 24 12 42 14 32 14 19 41 26 30 39 11 8 19 26 27 8 7 40 8 16 8 22 0 11 42 26 22 22 37 6 11 28 17 0 35 27 19 26 17 2 35 5 25 27 15 30 16 11 35 6 32 11 41 19 14 15 8 20 30 8 39 16 14 27 11 4 34 9 6 18 7 34 9 20 37 20 20 3 27 30 18 10 7 8 27 6 37 25 32 15 24 7 12 9 2 17 10 15 29 10 0 11 6 0 32 32 39 30 33 14 28 12 25 24 41 11 25 34 32 18 40 18 18 24 2 38 10 29 30 23 14 35 21 37 20 25 25 10 26 0 22 25 38 38 2 36 1 5 34 41 10 37 30 39 37 6 20 18 12 13 24 30 40 1 16 7 42 30 2 26 18 40 2 23 13 30 25 42 29 42 6 39 38 12 29 29 35 39 13 32 18 40 11 36 10 24 27 2 0 7 0 16 34 15 39 31 41 39 6 38 0 0 41 13 19 36 19 41 20 14 8 39 39 27 23 11 37 30 40 21 17 26"
1,2,-0.7554,0.9200,0.5486,-0.4342,-0.2109,"17 35 12 12 18 36 17 28 17 17 17 7 25 17 12 36 12 12 17 6 34 35 17 35 17 34 17 7 34 12 17 34 12 17 12 12 12 34 36 29 42 38 17 36 12 17 19 41 12 35 17 34 17 17 17 18 34 36 12 12 34 2 12 35 5 33 17 34 17 36 38 17 30 12 12 18 18 12 17 12 17 38 36 36 39 36 12 12 17 33 18 13 31 34 34 36 12 36 17 36 28 0 9 17 3 28 0 41 0 3 28 30 0 0 28 28 28 29 28 26 28 29 28 28 28 3 28 28 28 28 12 2 28 28 0 3 29 28 29 15 28 0 28 28 30 3 28 29 29 28 29 27 3 28 3 28 28 6 41 28 3 28 28 28 30 28 28 0 0 28 0 35 0 28 3 30 28 28 28 28 28 28 30 3 32 39 30 28 28 30 28 0 28 28 28 30 3 0 3 3 28 16 31 4 4 12 28 30 42 28 16 42 2 20 19 42 16 29 5 12 28 16 28 16 16 4 16 30 20 28 12 16 30 20 28 28 42 28 12 12 16 12 28 20 28 28 20 28 16 28 20 42 30 16 20 29 28 30 12 20 42 16 12 28 37 28 12 29 16 12 16 16 42 28 28 29 28 37 28 30 30 4 28 28 12 42 29 14 16 42 28 4 12 28 28 28 29 9 42 16 39 25 42 42 34 39 37 42 32 2 6 39 42 5 39 39 39 42 42 39 39 39 2 4 39 4 4 25 42 42 42 4 39 2 3 5 25 2 42 2 39 42 4 5 25 42 3 4 39 39 37 37 39 5 39 42 39 5 2 2 39 25 2 5 3 2 4 0 39 39 4 39 42 42 37 4 3 25 39 39 39 42 39 39 39 5 39 42 6 39 42 2 3 42 37 2 42 4 39 39 2 2 1 38 2 7 3 13 2 2 6 13 3 38 8 6 8 2 6 2 5 2 8 1 2 2 2 40 2 2 2 2 2 3 8 13 6 38 0 2 6 37 1 37 38 7 8 2 2 38 2 7 0 37 38 1 2 2 13 0 1 3 2 38 1 3 38 8 2 2 2 1 36 2 2 2 0 2 2 6 4 4 2 13 2 2 2 13 1 1 7 2 4 38 5 2 37 38 5 0"
2,2,-0.7351,0.9000,0.5497,-0.4621,-0.2302,"17 35 12 12 18 36 17 28 17 17 17 7 25 17 12 36 12 12 17 6 34 35 17 35 17 34 17 7 34 12 17 34 12 17 12 12 12 34 36 29 42 38 17 36 12 17 19 41 12 35 17 34 17 17 17 18 34 36 12 12 34 2 12 35 5 33 17 34 17 36 38 17 30 12 12 18 18 12 17 12 17 38 36 36 39 36 12 12 17 33 18 13 31 34 34 36 12 36 17 36 28 0 9 17 3 28 0 41 0 3 28 30 0 0 28 28 28 29 28 26 28 29 28 28 28 3 28 28 28 28 12 2 28 28 0 3 29 28 29 15 28 0 28 28 30 3 28 29 29 28 29 27 3 28 3 28 28 6 41 28 3 28 28 28 30 28 28 0 0 28 0 35 0 28 3 30 28 28 28 28 28 28 30 3 32 39 30 28 28 30 28 0 28 28 28 30 3 0 3 3 28 16 31 4 4 12 28 30 42 28 16 42 2 20 19 42 16 29 5 12 28 16 28 16 16 4 16 30 20 28 12 16 30 20 28 28 42 28 12 12 16 12 28 20 28 28 20 28 16 28 20 42 30 16 20 29 28 30 12 20 42 16 12 28 37 28 12 29 16 12 16 16 42 28 28 29 28 37 28 30 30 4 28 28 12 42 29 14 16 42 28 4 12 28 28 28 29 9 42 16 39 25 42 42 34 39 37 42 32 2 6 39 42 5 39 39 39 42 42 39 39 39 2 4 39 4 4 25 42 42 42 4 39 2 3 5 25 2 42 2 39 42 4 5 25 42 3 4 39 39 37 37 39 5 39 42 39 5 2 2 39 25 2 5 3 2 4 0 39 39 4 39 42 42 37 4 3 25 39 39 39 42 39 39 39 5 39 42 6 39 42 2 3 42 37 2 42 4 39 39 2 2 1 38 2 7 3 13 2 2 6 13 3 38 8 6 8 2 6 2 5 2 8 1 2 2 2 40 2 2 2 2 2 3 8 13 6 38 0 2 6 37 1 37 38 7 8 2 2 38 2 7 0 37 38 1 2 2 13 0 1 3 2 38 1 3 38 8 2 2 2 1 36 2 2 2 0 2 2 6 4 4 2 13 2 2 2 13 1 1 7 2 4 38 5 2 37 38 5 0"
3,2,-0.7527,0.9231,0.5679,-0.4858,-0.3001,"17 35 12 12 18 36 17 28 17 17 17 7 25 17 12 36 12 12 17 6 34 35 17 35 17 34 17 7 34 12 17 34 12 17 12 12 12 34 36 29 42 38 17 36 12 17 19 41 12 35 17 34 17 17 17 18 34 36 12 12 34 2 12 35 5 33 17 34 17 36 38 17 30 12 12 18 18 12 17 12 17 38 36 36 39 36 12 12 17 33 18 13 31 34 34 36 12 36 17 36 28 0 9 17 3 28 0 41 0 3 28 30 0 0 28 28 28 29 28 26 28 29 28 28 28 3 28 28 28 28 12 2 28 28 0 3 29 28 29 15 28 0 28 28 30 3 28 29 29 28 29 27 3 28 3 28 28 6 41 28 3 28 28 28 30 28 28 0 0 28 0 35 0 28 3 30 28 28 28 28 28 28 30 3 32 39 30 28 28 30 28 0 28 28 28 30 3 0 3 3 28 16 31 4 4 12 28 30 42 28 16 42 2 20 19 42 16 29 5 12 28 16 28 16 16 4 16 30 20 28 12 16 30 20 28 28 42 28 12 12 16 12 28 20 28 28 20 28 16 28 20 42 30 16 20 29 28 30 12 20 42 16 12 28 37 28 12 29 16 12 16 16 42 28 28 29 28 37 28 30 30 4 28 28 12 42 29 14 16 42 28 4 12 28 28 28 29 9 42 16 39 25 42 42 34 39 37 42 32 2 6 39 42 5 39 39 39 42 42 39 39 39 2 4 39 4 4 25 42 42 42 4 39 2 3 5 25 2 42 2 39 42 4 5 25 42 3 4 39 39 37 37 39 5 39 42 39 5 2 2 39 25 2 5 3 2 4 0 39 39 4 39 42 42 37 4 3 25 39 39 39 42 39 39 39 5 39 42 6 39 42 2 3 42 37 2 42 4 39 39 2 2 1 38 2 7 3 13 2 2 6 13 3 38 8 6 8 2 6 2 5 2 8 1 2 2 2 40 2 2 2 2 2 3 8 13 6 38 0 2 6 37 1 37 38 7 8 2 2 38 2 7 0 37 38 1 2 2 13 0 1 3 2 38 1 3 38 8 2 2 2 1 36 2 2 2 0 2 2 6 4 4 2 13 2 2 2 13 1 1 7 2 4 38 5 2 37 38 5 0"
4,3,-0.7633,0.9231,0.5324,-0.4946,-0.2982,"0 7 0 8 7 25 7 7 7 7 12 7 27 0 26 7 25 25 7 3 0 25 3 25 0 3 3 7 12 0 3 12 0 7 3 25 0 25 3 7 7 27 12 0 25 0 3 25 7 0 7 0 7 3 33 8 25 12 7 7 12 12 7 7 7 0 0 0 7 0 27 7 8 3 12 27 25 25 0 7 0 7 27 25 7 7 3 3 3 3 7 7 25 0 8 0 8 3 3 41 25 22 25 24 28 23 23 23 28 24 19 25 23 23 28 30 23 30 23 23 23 28 23 21 24 28 23 28 23 23 4 23 24 28 23 23 5 23 23 23 23 25 28 23 24 23 24 23 23 23 25 23 23 28 28 23 28 23 23 28 24 28 23 23 23 24 5 28 23 23 21 23 24 25 28 28 23 23 24 28 23 30 28 27 25 23 22 30 23 28 23 26 23 30 28 23 23 28 23 28 12 1 1 16 16 12 38 3 38 12 16 38 7 12 3 24 16 16 16 3 0 38 12 16 12 12 16 12 8 7 1 7 12 13 23 7 0 16 38 1 0 2 16 16 16 3 1 12 12 1 16 12 7 8 0 6 0 23 16 16 13 2 16 12 16 38 16 12 0 12 7 3 16 38 16 3 12 1 13 0 12 1 3 16 12 38 1 38 16 7 0 1 12 12 0 38 1 12 16 16 6 5 2 0 11 10 2 2 9 5 2 2 0 19 9 2 2 19 9 2 11 2 10 2 2 2 10 0 20 2 0 5 9 37 37 2 2 2 11 10 9 2 2 10 2 12 10 2 10 2 11 2 2 2 9 19 2 19 2 6 2 2 10 5 2 4 38 9 2 2 2 2 2 2 34 5 5 1 9 2 38 2 4 2 2 13 10 10 37 19 2 34 11 19 2 9 11 2 2 2 31 7 32 31 28 32 8 31 7 33 28 31 7 31 31 31 31 7 31 31 31 7 7 7 7 7 33 42 31 42 7 31 31 32 31 31 32 31 31 31 42 31 7 31 2 31 32 8 31 31 32 31 32 7 7 33 42 31 31 31 31 31 32 31 31 30 31 7 31 7 31 31 31 7 2 31 42 32 7 33 7 7 31 32 7 42 7 31 31 7 33 33 31 42 31 8 4 31 7 32"
5,3,-0.7337,0.9286,0.6494,-0.5010,-0.3142,"0 7 0 8 7 25 7 7 7 7 12 7 27 0 26 7 25 25 7 3 0 25 3 25 0 3 3 7 12 0 3 12 0 7 3 25 0 25 3 7 7 27 12 0 25 0 3 25 7 0 7 0 7 3 33 8 25 12 7 7 12 12 7 7 7 0 0 0 7 0 27 7 8 3 12 27 25 25 0 7 0 7 27 25 7 7 3 3 3 3 7 7 25 0 8 0 8 3 3 41 25 22 25 24 28 23 23 23 28 24 19 25 23 23 28 30 23 30 23 23 23 28 23 21 24 28 23 28 23 23 4 23 24 28 23 23 5 23 23 23 23 25 28 23 24 23 24 23 23 23 25 23 23 28 28 23 28 23 23 28 24 28 23 23 23 24 5 28 23 23 21 23 24 25 28 28 23 23 24 28 23 30 28 27 25 23 22 30 23 28 23 26 23 30 28 23 23 28 23 28 12 1 1 16 16 12 38 3 38 12 16 38 7 12 3 24 16 16 16 3 0 38 12 16 12 12 16 12 8 7 1 7 12 13 23 7 0 16 38 1 0 2 16 16 16 3 1 12 12 1 16 12 7 8 0 6 0 23 16 16 13 2 16 12 16 38 16 12 0 12 7 3 16 38 16 3 12 1 13 0 12 1 3 16 12 38 1 38 16 7 0 1 12 12 0 38 1 12 16 16 6 5 2 0 11 10 2 2 9 5 2 2 0 19 9 2 2 19 9 2 11 2 10 2 2 2 10 0 20 2 0 5 9 37 37 2 2 2 11 10 9 2 2 10 2 12 10 2 10 2 11 2 2 2 9 19 2 19 2 6 2 2 10 5 2 4 38 9 2 2 2 2 2 2 34 5 5 1 9 2 38 2 4 2 2 13 10 10 37 19 2 34 11 19 2 9 11 2 2 2 31 7 32 31 28 32 8 31 7 33 28 31 7 31 31 31 31 7 31 31 31 7 7 7 7 7 33 42 31 42 7 31 31 32 31 31 32 31 31 31 42 31 7 31 2 31 32 8 31 31 32 31 32 7 7 33 42 31 31 31 31 31 32 31 31 30 31 7 31 7 31 31 31 7 2 31 42 32 7 33 7 7 31 32 7 42 7 31 31 7 33 33 31 42 31 8 4 31 7 32"
6,3,-0.7441,0.8800,0.4529,-0.5065,-0.3035,"0 7 0 8 7 25 7 7 7 7 12 7 27 0 26 7 25 25 7 3 0 25 3 25 0 3 3 7 12 0 3 12 0 7 3 25 0 25 3 7 7 27 12 0 25 0 3 25 7 0 7 0 7 3 33 8 25 12 7 7 12 12 7 7 7 0 0 0 7 0 27 7 8 3 12 27 25 25 0 7 0 7 27 25 7 7 3 3 3 3 7 7 25 0 8 0 8 3 3 41 25 22 25 24 28 23 23 23 28 24 19 25 23 23 28 30 23 30 23 23 23 28 23 21 24 28 23 28 23 23 4 23 24 28 23 23 5 23 23 23 23 25 28 23 24 23 24 23 23 23 25 23 23 28 28 23 28 23 23 28 24 28 23 23 23 24 5 28 23 23 21 23 24 25 28 28 23 23 24 28 23 30 28 27 25 23 22 30 23 28 23 26 23 30 28 23 23 28 23 28 12 1 1 16 16 12 38 3 38 12 16 38 7 12 3 24 16 16 16 3 0 38 12 16 12 12 16 12 8 7 1 7 12 13 23 7 0 16 38 1 0 2 16 16 16 3 1 12 12 1 16 12 7 8 0 6 0 23 16 16 13 2 16 12 16 38 16 12 0 12 7 3 16 38 16 3 12 1 13 0 12 1 3 16 12 38 1 38 16 7 0 1 12 12 0 38 1 12 16 16 6 5 2 0 11 10 2 2 9 5 2 2 0 19 9 2 2 19 9 2 11 2 10 2 2 2 10 0 20 2 0 5 9 37 37 2 2 2 11 10 9 2 2 10 2 12 10 2 10 2 11 2 2 2 9 19 2 19 2 6 2 2 10 5 2 4 38 9 2 2 2 2 2 2 34 5 5 1 9 2 38 2 4 2 2 13 10 10 37 19 2 34 11 19 2 9 11 2 2 2 31 7 32 31 28 32 8 31 7 33 28 31 7 31 31 31 31 7 31 31 31 7 7 7 7 7 33 42 31 42 7 31 31 32 31 31 32 31 31 31 42 31 7 31 2 31 32 8 31 31 32 31 32 7 7 33 42 31 31 31 31 31 32 31 31 30 31 7 31 7 31 31 31 7 2 31 42 32 7 33 7 7 31 32 7 42 7 31 31 7 33 33 31 42 31 8 4 31 7 32"
7,3,-0.7625,0.9286,0.5535,-0.4952,-0.3097,"0 7 0 8 7 25 7 7 7 7 12 7 27 0 26 7 25 25 7 3 0 25 3 25 0 3 3 7 12 0 3 12 0 7 3 25 0 25 3 7 7 27 12 0 25 0 3 25 7 0 7 0 7 3 33 8 25 12 7 7 12 12 7 7 7 0 0 0 7 0 27 7 8 3 12 27 25 25 0 7 0 7 27 25 7 7 3 3 3 3 7 7 25 0 8 0 8 3 3 41 25 22 25 24 28 23 23 23 28 24 19 25 23 23 28 30 23 30 23 23 23 28 23 21 24 28 23 28 23 23 4 23 24 28 23 23 5 23 23 23 23 25 28 23 24 23 24 23 23 23 25 23 23 28 28 23 28 23 23 28 24 28 23 23 23 24 5 28 23 23 21 23 24 25 28 28 23 23 24 28 23 30 28 27 25 23 22 30 23 28 23 26 23 30 28 23 23 28 23 28 12 1 1 16 16 12 38 3 38 12 16 38 7 12 3 24 16 16 16 3 0 38 12 16 12 12 16 12 8 7 1 7 12 13 23 7 0 16 38 1 0 2 16 16 16 3 1 12 12 1 16 12 7 8 0 6 0 23 16 16 13 2 16 12 16 38 16 12 0 12 7 3 16 38 16 3 12 1 13 0 12 1 3 16 12 38 1 38 16 7 0 1 12 12 0 38 1 12 16 16 6 5 2 0 11 10 2 2 9 5 2 2 0 19 9 2 2 19 9 2 11 2 10 2 2 2 10 0 20 2 0 5 9 37 37 2 2 2 11 10 9 2 2 10 2 12 10 2 10 2 11 2 2 2 9 19 2 19 2 6 2 2 10 5 2 4 38 9 2 2 2 2 2 2 34 5 5 1 9 2 38 2 4 2 2 13 10 10 37 19 2 34 11 19 2 9 11 2 2 2 31 7 32 31 28 32 8 31 7 33 28 31 7 31 31 31 31 7 31 31 31 7 7 7 7 7 33 42 31 42 7 31 31 32 31 31 32 31 31 31 42 31 7 31 2 31 32 8 31 31 32 31 32 7 7 33 42 31 31 31 31 31 32 31 31 30 31 7 31 7 31 31 31 7 2 31 42 32 7 33 7 7 31 32 7 42 7 31 31 7 33 33 31 42 31 8 4 31 7 32"
8,3,-0.7588,0.9200,0.5372,-0.5212,-0.2886,"0 7 0 8 7 25 7 7 7 7 12 7 27 0 26 7 25 25 7 3 0 25 3 25 0 3 3 7 12 0 3 12 0 7 3 25 0 25 3 7 7 27 12 0 25 0 3 25 7 0 7 0 7 3 33 8 25 12 7 7 12 12 7 7 7 0 0 0 7 0 27 7 8 3 12 27 25 25 0 7 0 7 27 25 7 7 3 3 3 3 7 7 25 0 8 0 8 3 3 41 25 22 25 24 28 23 23 23 28 24 19 25 23 23 28 30 23 30 23 23 23 28 23 21 24 28 23 28 23 23 4 23 24 28 23 23 5 23 23 23 23 25 28 23 24 23 24 23 23 23 25 23 23 28 28 23 28 23 23 28 24 28 23 23 23 24 5 28 23 23 21 23 24 25 28 28 23 23 24 28 23 30 28 27 25 23 22 30 23 28 23 26 23 30 28 23 23 28 23 28 12 1 1 16 16 12 38 3 38 12 16 38 7 12 3 24 16 16 16 3 0 38 12 16 12 12 16 12 8 7 1 7 12 13 23 7 0 16 38 1 0 2 16 16 16 3 1 12 12 1 16 12 7 8 0 6 0 23 16 16 13 2 16 12 16 38 16 12 0 12 7 3 16 38 16 3 12 1 13 0 12 1 3 16 12 38 1 38 16 7 0 1 12 12 0 38 1 12 16 16 6 5 2 0 11 10 2 2 9 5 2 2 0 19 9 2 2 19 9 2 11 2 10 2 2 2 10 0 20 2 0 5 9 37 37 2 2 2 11 10 9 2 2 10 2 12 10 2 10 2 11 2 2 2 9 19 2 19 2 6 2 2 10 5 2 4 38 9 2 2 2 2 2 2 34 5 5 1 9 2 38 2 4 2 2 13 10 10 37 19 2 34 11 19 2 9 11 2 2 2 31 7 32 31 28 32 8 31 7 33 28 31 7 31 31 31 31 7 31 31 31 7 7 7 7 7 33 42 31 42 7 31 31 32 31 31 32 31 31 31 42 31 7 31 2 31 32 8 31 31 32 31 32 7 7 33 42 31 31 31 31 31 32 31 31 30 31 7 31 7 31 31 31 7 2 31 42 32 7 33 7 7 31 32 7 42 7 31 31 7 33 33 31 42 31 8 4 31 7 32"
9,3,-0.7531,0.9310,0.5930,-0.4922,-0.3122,"0 7 0 8 7 25 7 7 7 7 12 7 27 0 26 7 25 25 7 3 0 25 3 25 0 3 3 7 12 0 3 12 0 7 3 25 0 25 3 7 7 27 12 0 25 0 3 25 7 0 7 0 7 3 33 8 25 12 7 7 12 12 7 7 7 0 0 0 7 0 27 7 8 3 12 27 25 25 0 7 0 7 27 25 7 7 3 3 3 3 7 7 25 0 8 0 8 3 3 41 25 22 25 24 28 23 23 23 28 24 19 25 23 23 28 30 23 30 23 23 23 28 23 21 24 28 23 28 23 23 4 23 24 28 23 23 5 23 23 23 23 25 28 23 24 23 24 23 23 23 25 23 23 28 28 23 28 23 23 28 24 28 23 23 23 24 5 28 23 23 21 23 24 25 28 28 23 23 24 28 23 30 28 27 25 23 22 30 23 28 23 26 23 30 28 23 23 28 23 28 12 1 1 16 16 12 38 3 38 12 16 38 7 12 3 24 16 16 16 3 0 38 12 16 12 12 16 12 8 7 1 7 12 13 23 7 0 16 38 1 0 2 16 16 16 3 1 12 12 1 16 12 7 8 0 6 0 23 16 16 13 2 16 12 16 38 16 12 0 12 7 3 16 38 16 3 12 1 13 0 12 1 3 16 12 38 1 38 16 7 0 1 12 12 0 38 1 12 16 16 6 5 2 0 11 10 2 2 9 5 2 2 0 19 9 2 2 19 9 2 11 2 10 2 2 2 10 0 20 2 0 5 9 37 37 2 2 2 11 10 9 2 2 10 2 12 10 2 10 2 11 2 2 2 9 19 2 19 2 6 2 2 10 5 2 4 38 9 2 2 2 2 2 2 34 5 5 1 9 2 38 2 4 2 2 13 10 10 37 19 2 34 11 19 2 9 11 2 2 2 31 7 32 31 28 32 8 31 7 33 28 31 7 31 31 31 31 7 31 31 31 7 7 7 7 7 33 42 31 42 7 31 31 32 31 31 32 31 31 31 42 31 7 31 2 31 32 8 31 31 32 31 32 7 7 33 42 31 31 31 31 31 32 31 31 30 31 7 31 7 31 31 31 7 2 31 42 32 7 33 7 7 31 32 7 42 7 31 31 7 33 33 31 42 31 8 4 31 7 32"
